id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5562942,Baseball Cards 2023 Topps Chrome 1988,Aaron Judge #88BC-1,$2.51,$9.00,$10.85,$24.65,$26.18,$74.75,$97.00,$23.78,$29.70,,,,$2.79,$2.00,$9.89,$3.00,$11.99,,567,,,,,2023-06-01
5562982,Baseball Cards 2023 Topps Chrome 1988,Aaron Judge [Gold] #88BC-1,$78.75,,$28.99,$46.99,$52.00,$150.35,$195.00,$90.00,$90.00,,,$34.80,$86.99,,,$9.60,$31.99,,6,,,,,2023-06-01
5562962,Baseball Cards 2023 Topps Chrome 1988,Aaron Judge [Green] #88BC-1,$27.00,,,$30.25,$39.99,$45.00,$59.00,$27.00,$27.00,,,$9.00,$29.99,,,,,,7,,,,,2023-06-01
5563002,Baseball Cards 2023 Topps Chrome 1988,Aaron Judge [Orange] #88BC-1,$117.00,,,,,$185.02,$241.00,$111.00,$111.00,,,$64.50,$129.00,,,,,,5,,,,,2023-06-01
5563022,Baseball Cards 2023 Topps Chrome 1988,Aaron Judge [Red] #88BC-1,$194.05,,,,,$900.00,$1170.00,$540.00,$150.00,,,$106.50,$213.00,,,,,,2,,,,,2023-06-01
5562948,Baseball Cards 2023 Topps Chrome 1988,Alex Bregman #88BC-7,$1.76,,$6.44,$7.00,$16.00,$15.99,$21.00,$10.00,$4.25,,,,$1.89,,,$1.40,$7.09,,24,,,,,2023-06-01
5562988,Baseball Cards 2023 Topps Chrome 1988,Alex Bregman [Gold] #88BC-7,$8.75,,,,,,,,,,,$1.90,$9.59,,,,,,4,,,,,2023-06-01
5562968,Baseball Cards 2023 Topps Chrome 1988,Alex Bregman [Green] #88BC-7,$4.00,,,,,,,,,,,$0.90,$4.39,,,,,,4,,,,,2023-06-01
5563008,Baseball Cards 2023 Topps Chrome 1988,Alex Bregman [Orange] #88BC-7,$16.13,,,,,$53.50,$70.00,$32.00,$32.00,,,$4.50,$17.99,,,,,,2,,,,,2023-06-01
5563028,Baseball Cards 2023 Topps Chrome 1988,Alex Bregman [Red] #88BC-7,,,,,,$90.00,$117.00,$54.00,$54.00,,,,,,,,,,1,,,,,2023-06-01
