id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5563042,Baseball Cards 2023 Topps Chrome 1988 Autographs,Austin Riley #88BA-AR,$77.52,,,$74.07,$98.00,$861.76,$1120.00,$517.00,$517.00,,,$34.00,$84.99,,,,,,7,,,,,2023-06-01
5563052,Baseball Cards 2023 Topps Chrome 1988 Autographs,Austin Riley [Orange] #88BA-AR,$99.44,,,$76.00,$84.00,,,,,,,$54.50,$109.00,,,,,,4,,,,,2023-06-01
5563063,Baseball Cards 2023 Topps Chrome 1988 Autographs,Austin Riley [Red] #88BA-AR,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563043,Baseball Cards 2023 Topps Chrome 1988 Autographs,Byron Buxton #88BA-BB,$20.50,,,,,,,,,,,$6.90,$22.99,,,,,,4,,,,,2023-06-01
5563053,Baseball Cards 2023 Topps Chrome 1988 Autographs,Byron Buxton [Orange] #88BA-BB,$30.93,,,,,,,,,,,$10.20,$33.99,,,,,,2,,,,,2023-06-01
5563064,Baseball Cards 2023 Topps Chrome 1988 Autographs,Byron Buxton [Red] #88BA-BB,$100.00,,,,,,,,,,,$55.00,$110.00,,,,,,1,,,,,2023-06-01
5563044,Baseball Cards 2023 Topps Chrome 1988 Autographs,Dylan Carlson #88BA-DC,$10.00,,,,,,,,,,,$2.80,$10.99,,,,,,3,,,,,2023-06-01
5563054,Baseball Cards 2023 Topps Chrome 1988 Autographs,Dylan Carlson [Orange] #88BA-DC,$13.50,,,,,,,,,,,$3.80,$14.99,,,,,,1,,,,,2023-06-01
5563065,Baseball Cards 2023 Topps Chrome 1988 Autographs,Dylan Carlson [Red] #88BA-DC,$99.99,,,,,,,,,,,$55.00,$110.00,,,,,,1,,,,,2023-06-01
5563045,Baseball Cards 2023 Topps Chrome 1988 Autographs,Jose Ramirez #88BA-JR,$70.00,,,$185.00,$204.00,$300.00,$390.00,$180.00,$180.00,,,$30.80,$76.99,,,,,,7,,,,,2023-06-01
5563055,Baseball Cards 2023 Topps Chrome 1988 Autographs,Jose Ramirez [Orange] #88BA-JR,$175.00,,,$100.00,$110.00,,,,$210.00,,,$96.50,$193.00,,,,,,2,,,,,2023-06-01
5563066,Baseball Cards 2023 Topps Chrome 1988 Autographs,Jose Ramirez [Red] #88BA-JR,$349.99,,,$129.95,$143.00,,,,,,,$192.50,$385.00,,,,,,2,,,,,2023-06-01
5563046,Baseball Cards 2023 Topps Chrome 1988 Autographs,Kyle Tucker #88BA-KT,$48.69,,$17.50,,$39.99,,,,,,,$21.60,$53.99,,,$4.80,$18.99,,6,,,,,2023-06-01
5563056,Baseball Cards 2023 Topps Chrome 1988 Autographs,Kyle Tucker [Orange] #88BA-KT,$68.94,,,$53.16,$58.00,$129.99,$169.00,$78.00,$78.00,,,$30.40,$75.99,,,,,,4,,,,,2023-06-01
5563067,Baseball Cards 2023 Topps Chrome 1988 Autographs,Kyle Tucker [Red] #88BA-KT,,,$57.10,,,$370.00,$481.00,$222.00,$222.00,,,,,,,$25.20,$62.99,,2,,,,,2023-06-01
5566317,Baseball Cards 2023 Topps Chrome 1988 Autographs,Luis Castillo #88BA-LC,$69.99,,$550.00,,,,,,,,,$30.80,$76.99,,,$363.00,$605.00,,3,,,,,2023-06-01
5563057,Baseball Cards 2023 Topps Chrome 1988 Autographs,Luis Castillo [Orange] #88BA-LC,$30.53,,,,,,,,,,,$10.20,$33.99,,,,,,2,,,,,2023-06-01
