id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5565401,Baseball Cards 2023 Topps Chrome Authentics Relics,Aaron Judge #TCA-AJ,$53.64,,$49.01,$67.50,$140.13,$169.59,$220.00,$102.00,$102.00,,,$23.60,$58.99,,,$21.60,$53.99,,8,,,,,2023-06-01
5565485,Baseball Cards 2023 Topps Chrome Authentics Relics,Aaron Judge [Gold] #TCA-AJ,$67.99,,,,,,,,,,,$30.00,$74.99,,,,,,1,,,,,2023-06-01
5565443,Baseball Cards 2023 Topps Chrome Authentics Relics,Aaron Judge [Green] #TCA-AJ,$47.33,,,,,,,,,,,$20.80,$51.99,,,,,,1,,,,,2023-06-01
5565527,Baseball Cards 2023 Topps Chrome Authentics Relics,Aaron Judge [Orange] #TCA-AJ,$80.27,,,$200.00,$220.00,,,,,,,$35.20,$87.99,,,,,,3,,,,,2023-06-01
5565569,Baseball Cards 2023 Topps Chrome Authentics Relics,Aaron Judge [Red] #TCA-AJ,$80.00,,,,,,,,,,,$35.20,$87.99,,,,,,1,,,,,2023-06-01
5565404,Baseball Cards 2023 Topps Chrome Authentics Relics,Adley Rutschman #TCA-ARU,$24.04,,$24.62,$32.00,$39.00,$40.00,$52.00,$24.00,$29.99,,,$7.80,$25.99,,,$8.10,$26.99,,9,,,,,2023-06-01
5565611,Baseball Cards 2023 Topps Chrome Authentics Relics,Adley Rutschman [Autograph] #TCAA-ARU,$70.00,,,,,,,,,,,$30.80,$76.99,,,,,,3,,,,,2023-06-01
5565488,Baseball Cards 2023 Topps Chrome Authentics Relics,Adley Rutschman [Gold] #TCA-ARU,$25.05,,,,,,,,,,,$8.40,$27.99,,,,,,1,,,,,2023-06-01
5565446,Baseball Cards 2023 Topps Chrome Authentics Relics,Adley Rutschman [Green] #TCA-ARU,$69.95,,,$39.57,$44.00,,,,,,,$30.80,$76.99,,,,,,2,,,,,2023-06-01
5565530,Baseball Cards 2023 Topps Chrome Authentics Relics,Adley Rutschman [Orange] #TCA-ARU,$10.50,,,$33.75,$37.00,,,,,,,$3.00,$11.99,,,,,,2,,,,,2023-06-01
