id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5563081,Baseball Cards 2023 Topps Chrome Dual Rookie Autographs,"Corbin Carroll, Riley Greene #DRA-GC",$470.00,,$212.40,,,,,,,,,$310.20,$517.00,,,$117.00,$234.00,,6,,,,,2023-06-01
5563087,Baseball Cards 2023 Topps Chrome Dual Rookie Autographs,"Corbin Carroll, Riley Greene [Red] #DRA-GC",,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563086,Baseball Cards 2023 Topps Chrome Dual Rookie Autographs,"Gunnar Henderson, Adley Rutschman #DRA-RH",$1361.63,,,,,$1425.00,$1853.00,$855.00,$855.00,,,$898.80,$1498.00,,,,,,2,,,,,2023-06-01
5563091,Baseball Cards 2023 Topps Chrome Dual Rookie Autographs,"Gunnar Henderson, Adley Rutschman [Red] #DRA-RH",,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563085,Baseball Cards 2023 Topps Chrome Dual Rookie Autographs,"Nick Pratto, Vinnie Pasquantino #DRA-PP",$52.00,,,,,,,,,,,$22.80,$56.99,,,,,,3,,,,,2023-06-01
5563090,Baseball Cards 2023 Topps Chrome Dual Rookie Autographs,"Nick Pratto, Vinnie Pasquantino [Red] #DRA-PP",$250.00,,,,,,,,,,,$137.50,$275.00,,,,,,1,,,,,2023-06-01
5563084,Baseball Cards 2023 Topps Chrome Dual Rookie Autographs,"Nolan Gorman, Matthew Liberatore #DRA-LG",$111.00,,,,,,,,,,,$61.00,$122.00,,,,,,1,,,,,2023-06-01
5563089,Baseball Cards 2023 Topps Chrome Dual Rookie Autographs,"Nolan Gorman, Matthew Liberatore [Red] #DRA-LG",,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563083,Baseball Cards 2023 Topps Chrome Dual Rookie Autographs,"Vaughn Grissom, Michael Harris II #DRA-HGR",$450.00,,,,,$458.70,$596.00,$275.00,$275.00,,,$247.50,$495.00,,,,,,2,,,,,2023-06-01
5563088,Baseball Cards 2023 Topps Chrome Dual Rookie Autographs,"Vaughn Grissom, Michael Harris II [Red] #DRA-HGR",,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
