id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5565630,Baseball Cards 2023 Topps Chrome Expose,Aaron Judge #TCE-3,$112.32,,,,,,,,,,,$62.00,$124.00,,,,,,1,,,,,2023-06-01
5565660,Baseball Cards 2023 Topps Chrome Expose,Aaron Judge [Red] #TCE-3,$212.06,,$266.11,,,,,,,,,$116.50,$233.00,,,$146.50,$293.00,,2,,,,,2023-06-01
5565639,Baseball Cards 2023 Topps Chrome Expose,Adley Rutschman #TCE-12,$399.50,,,$174.50,$192.00,,,,,,,$219.50,$439.00,,,,,,2,,,,,2023-06-01
5565669,Baseball Cards 2023 Topps Chrome Expose,Adley Rutschman [Red] #TCE-12,$400.00,,,,,,,,,,,$220.00,$440.00,,,,,,1,,,,,2023-06-01
6032287,Baseball Cards 2023 Topps Chrome Expose,Alex Bregman #TCE-50,$25.00,,,,,,,,,,,$8.40,$27.99,,,,,,2,,,,,2023-06-01
6032307,Baseball Cards 2023 Topps Chrome Expose,Alex Bregman [Red] #TCE-50,$42.60,,,,,,,,,,,$18.80,$46.99,,,,,,1,,,,,2023-06-01
6032327,Baseball Cards 2023 Topps Chrome Expose,Alex Bregman [Superfractor] #TCE-50,$164.50,,,,,,,,,,,$90.50,$181.00,,,,,,1,,,,,2023-06-01
6032268,Baseball Cards 2023 Topps Chrome Expose,Anthony Volpe #TCE-31,$45.00,,,$30.36,$33.00,$250.00,$325.00,$150.00,$150.00,,,$20.00,$49.99,,,,,,5,,,,,2023-06-01
6032288,Baseball Cards 2023 Topps Chrome Expose,Anthony Volpe [Red] #TCE-31,$323.88,,,,,,,,,,,$178.00,$356.00,,,,,,1,,,,,2023-06-01
6032308,Baseball Cards 2023 Topps Chrome Expose,Anthony Volpe [Superfractor] #TCE-31,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6032284,Baseball Cards 2023 Topps Chrome Expose,Bo Bichette #TCE-47,$14.08,,,,,,,,,,,$3.80,$14.99,,,,,,1,,,,,2023-06-01
6032304,Baseball Cards 2023 Topps Chrome Expose,Bo Bichette [Red] #TCE-47,$109.95,,,,,,,,,,,$60.50,$121.00,,,,,,1,,,,,2023-06-01
6032324,Baseball Cards 2023 Topps Chrome Expose,Bo Bichette [Superfractor] #TCE-47,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565651,Baseball Cards 2023 Topps Chrome Expose,Bo Naylor #TCE-24,$71.49,,,,,,,,,,,$31.60,$78.99,,,,,,1,,,,,2023-06-01
5565681,Baseball Cards 2023 Topps Chrome Expose,Bo Naylor [Red] #TCE-24,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6032272,Baseball Cards 2023 Topps Chrome Expose,Bobby Miller #TCE-35,$56.00,,,,,,,,,,,$24.80,$61.99,,,,,,1,,,,,2023-06-01
6032292,Baseball Cards 2023 Topps Chrome Expose,Bobby Miller [Red] #TCE-35,,,,,,$103.78,$135.00,$62.00,$62.00,,,,,,,,,,1,,,,,2023-06-01
6032312,Baseball Cards 2023 Topps Chrome Expose,Bobby Miller [Superfractor] #TCE-35,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565643,Baseball Cards 2023 Topps Chrome Expose,Brett Baty #TCE-16,$7.29,,,,,,,,,,,$1.60,$7.99,,,,,,1,,,,,2023-06-01
5565673,Baseball Cards 2023 Topps Chrome Expose,Brett Baty [Red] #TCE-16,,,,,,$65.98,$86.00,$40.00,$40.00,,,,,,,,,,1,,,,,2023-06-01
5565631,Baseball Cards 2023 Topps Chrome Expose,Bryce Harper #TCE-4,$100.00,,,$78.00,$86.00,$200.00,$260.00,$120.00,$120.00,,,$55.00,$110.00,,,,,,2,,,,,2023-06-01
5565661,Baseball Cards 2023 Topps Chrome Expose,Bryce Harper [Red] #TCE-4,$175.00,,,$157.50,$173.00,,,,,,,$96.50,$193.00,,,,,,2,,,,,2023-06-01
5565641,Baseball Cards 2023 Topps Chrome Expose,Corbin Carroll #TCE-14,,,,,,$349.00,$454.00,$209.00,$209.00,,,,,,,,,,1,,,,,2023-06-01
5565671,Baseball Cards 2023 Topps Chrome Expose,Corbin Carroll [Red] #TCE-14,$691.00,,,$438.69,$483.00,$1000.00,$1300.00,$600.00,$600.00,,,$456.00,$760.00,,,,,,4,,,,,2023-06-01
6032274,Baseball Cards 2023 Topps Chrome Expose,Eury Perez #TCE-37,$51.00,,,,,,,,,,,$22.40,$55.99,,,,,,1,,,,,2023-06-01
6032294,Baseball Cards 2023 Topps Chrome Expose,Eury Perez [Red] #TCE-37,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
