id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6591722,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman #FS-1,$1.06,,$5.86,$11.32,$16.06,$22.58,$29.00,$14.00,$20.00,,,,$1.19,,,$1.30,$6.49,,27,,,,,2023-04-01
5563107,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman #FS-16,$1.38,$3.00,$3.25,$6.32,$12.03,$19.97,$26.00,$21.14,$8.52,,,,$1.49,,$3.29,,$3.59,,91,,,,,2023-06-01
10516575,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Blue Logofractor] #FS-1,$17.99,,$19.79,$33.08,$61.18,$79.29,$103.00,$48.00,$48.00,,,$5.00,$19.99,,,$6.60,$21.99,,16,,,,,2023-08-28
6591723,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Blue] #FS-1,$18.72,,$11.24,$13.16,$14.00,$54.94,$71.00,$33.00,$33.00,,,$6.30,$20.99,,,$3.00,$11.99,,11,,,,,2023-04-01
10516577,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Gold Logofractor] #FS-1,,,,,,$100.00,$130.00,$60.00,$60.00,,,,,,,,,,1,,,,,2023-08-28
6591726,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Gold] #FS-1,$24.00,,,$48.00,$53.00,$85.00,$111.00,$51.00,$51.00,,,$7.80,$25.99,,,,,,3,,,,,2023-04-01
5563147,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Gold] #FS-16,$44.51,,,$54.99,$60.00,$101.18,$132.00,$61.00,$61.00,,,$19.60,$48.99,,,,,,7,,,,,2023-06-01
10516578,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Green Logofractor] #FS-1,,,,,,,,,,,,,,,,,,,0,,,,,2023-08-28
6591724,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Green] #FS-1,$21.00,,$22.05,$36.10,$42.00,$43.00,$56.00,$26.00,$26.00,,,$6.90,$22.99,,,$7.20,$23.99,,8,,,,,2023-04-01
5563127,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Green] #FS-16,$9.94,,$13.07,$14.00,$42.03,$50.00,$65.00,$30.00,$26.00,,,$2.80,$10.99,,,$3.50,$13.99,,8,,,,,2023-06-01
10516689,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Logofractor] #FS-1,$1.47,,$6.31,$12.05,$23.66,$25.00,$33.00,$15.00,$4.99,,,,$1.59,,,$1.40,$6.89,,15,,,,,2023-08-28
10516579,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Orange Logofractor] #FS-1,,,,,,,,,,,,,,,,,,,0,,,,,2023-08-28
6591727,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Orange] #FS-1,$59.51,,,,,$44.99,$58.00,$27.00,$27.00,,,$26.00,$64.99,,,,,,2,,,,,2023-04-01
5563167,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Orange] #FS-16,$75.00,,,$75.00,$83.00,,,,,,,$33.20,$82.99,,,,,,4,,,,,2023-06-01
10516581,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Red Logofractor] #FS-1,,,,,,,,,,,,,,,,,,,0,,,,,2023-08-28
6591728,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Red] #FS-1,,,,,,$100.00,$130.00,$60.00,$60.00,,,,,,,,,,1,,,,,2023-04-01
5563187,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Red] #FS-16,$99.99,,,,,$293.87,$382.00,$176.00,$176.00,,,$55.00,$110.00,,,,,,2,,,,,2023-06-01
10516580,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Rose Gold Logofractor] #FS-1,,,,,,,,,,,,,,,,,,,0,,,,,2023-08-28
6591729,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Rose Gold] #FS-1,,,,$565.00,$622.00,,,,,,,,,,,,,,1,,,,,2023-04-01
10516576,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Yellow Logofractor] #FS-1,,,,$27.00,$30.00,,,,,,,,,,,,,,1,,,,,2023-08-28
6591725,Baseball Cards 2023 Topps Chrome Future Stars,Adley Rutschman [Yellow] #FS-1,$10.50,,,$25.00,$28.00,$37.00,$48.00,$22.00,$34.99,,,$3.00,$11.99,,,,,,7,,,,,2023-04-01
5563095,Baseball Cards 2023 Topps Chrome Future Stars,Alek Thomas #FS-4,$1.23,,$6.00,$11.55,$22.74,$33.20,$43.00,$20.00,$20.00,,,,$1.39,,,$1.30,$6.59,,14,,,,,2023-06-01
5563135,Baseball Cards 2023 Topps Chrome Future Stars,Alek Thomas [Gold] #FS-4,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,4,,,,,2023-06-01
5563115,Baseball Cards 2023 Topps Chrome Future Stars,Alek Thomas [Green] #FS-4,$2.98,,,,,,,,,,,,$3.29,,,,,,4,,,,,2023-06-01
5563155,Baseball Cards 2023 Topps Chrome Future Stars,Alek Thomas [Orange] #FS-4,$59.21,,,,,,,,,,,$26.00,$64.99,,,,,,2,,,,,2023-06-01
5563175,Baseball Cards 2023 Topps Chrome Future Stars,Alek Thomas [Red] #FS-4,$170.00,,,,,$100.00,$130.00,$60.00,$60.00,,,$93.50,$187.00,,,,,,2,,,,,2023-06-01
6591800,Baseball Cards 2023 Topps Chrome Future Stars,Anthony Volpe #FS-11,$3.20,,$7.60,$14.95,$19.55,$25.23,$33.00,$15.00,$20.46,,,,$3.49,,,$1.70,$8.39,,32,,,,,2023-04-01
10516671,Baseball Cards 2023 Topps Chrome Future Stars,Anthony Volpe [Blue Logofractor] #FS-11,,,,$5.00,$6.00,,,,,,,,,,,,,,1,,,,,2023-08-28
6591801,Baseball Cards 2023 Topps Chrome Future Stars,Anthony Volpe [Blue] #FS-11,$12.62,,$15.25,$25.71,$47.68,$50.69,$66.00,$30.00,$30.00,,,$3.50,$13.99,,,$4.30,$16.99,,15,,,,,2023-04-01
10516674,Baseball Cards 2023 Topps Chrome Future Stars,Anthony Volpe [Gold Logofractor] #FS-11,,,,$12.50,$14.00,,,,,,,,,,,,,,1,,,,,2023-08-28
6591803,Baseball Cards 2023 Topps Chrome Future Stars,Anthony Volpe [Gold] #FS-11,$40.00,,,$100.00,$110.00,$120.00,$156.00,$72.00,$72.00,,,$17.60,$43.99,,,,,,5,,,,,2023-04-01
10516672,Baseball Cards 2023 Topps Chrome Future Stars,Anthony Volpe [Green Logofractor] #FS-11,,,,,,$26.00,$34.00,$16.00,$16.00,,,,,,,,,,5,,,,,2023-08-28
6591802,Baseball Cards 2023 Topps Chrome Future Stars,Anthony Volpe [Green] #FS-11,$18.19,,,$13.84,$15.00,$32.15,$42.00,$19.00,$19.00,,,$5.00,$19.99,,,,,,8,,,,,2023-04-01
10516670,Baseball Cards 2023 Topps Chrome Future Stars,Anthony Volpe [Logofractor] #FS-11,$4.99,,$9.10,$16.40,$20.60,$23.93,$31.00,$14.00,$9.25,,,$1.10,$5.49,,,$2.00,$9.99,,28,,,,,2023-08-28
10516675,Baseball Cards 2023 Topps Chrome Future Stars,Anthony Volpe [Orange Logofractor] #FS-11,,,,,,,,,,,,,,,,,,,0,,,,,2023-08-28
6591806,Baseball Cards 2023 Topps Chrome Future Stars,Anthony Volpe [Orange] #FS-11,$55.00,,,$37.44,$41.00,$122.22,$159.00,$73.00,$73.00,,,$24.40,$60.99,,,,,,3,,,,,2023-04-01
10516676,Baseball Cards 2023 Topps Chrome Future Stars,Anthony Volpe [Red Logofractor] #FS-11,,,,,,,,,,,,,,,,,,,0,,,,,2023-08-28
