id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5563192,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Bobby Witt Jr. #FSA-BW,$220.00,,$140.00,$265.83,$488.00,$497.54,$647.00,$299.00,$299.00,,,$121.00,$242.00,,,$77.00,$154.00,,20,,,,,2023-06-01
5563195,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Bobby Witt Jr. [Orange] #FSA-BW,$264.52,,,$330.28,$363.00,,,,,,,$145.50,$291.00,,,,,,7,,,,,2023-06-01
5563198,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Bobby Witt Jr. [Red] #FSA-BW,$369.16,,,,,,,,,,,$203.00,$406.00,,,,,,1,,,,,2023-06-01
6591692,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Brett Baty #FSA-BB,$25.57,,$25.77,$31.10,$34.00,$57.77,$75.00,$35.00,$35.00,,,$8.40,$27.99,,,$8.40,$27.99,,12,,,,,2023-04-01
10516819,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Brett Baty [Logofractor] #FSA-BB,$27.49,,,,,,,,,,,$9.00,$29.99,,,,,,4,,,,,2023-08-28
10516820,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Brett Baty [Orange Logofractor] #FSA-BB,,,,,,,,,,,,,,,,,,,0,,,,,2023-08-28
6591693,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Brett Baty [Orange] #FSA-BB,$48.31,,$42.00,$57.00,$63.00,$103.50,$135.00,$62.00,$62.00,,,$21.20,$52.99,,,$18.40,$45.99,,7,,,,,2023-04-01
6591694,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Brett Baty [SuperFractor] #FSA-BB,,,,,,,,,,,,,,,,,,,0,,,,,2023-04-01
10516821,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Brett Baty [Superfractor Logofractor] #FSA-BB,,,,,,,,,,,,,,,,,,,0,,,,,2023-08-28
6591695,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Corbin Carroll #FSA-CC,$106.25,,$91.39,$101.00,$173.00,$176.87,$230.00,$106.00,$118.50,,,$58.50,$117.00,,,$50.50,$101.00,,20,,,,,2023-04-01
10516823,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Corbin Carroll [Logofractor] #FSA-CC,$225.00,,$37.53,$137.75,$163.76,$207.44,$270.00,$124.00,$124.00,,,$124.00,$248.00,,,$16.40,$40.99,,10,,,,,2023-08-28
10516822,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Corbin Carroll [Orange Logofractor] #FSA-CC,,,,,,,,,,,,,,,,,,,0,,,,,2023-08-28
6591696,Baseball Cards 2023 Topps Chrome Future Stars Autographs,Corbin Carroll [Orange] #FSA-CC,$199.99,,,,,,,,,,,$110.00,$220.00,,,,,,1,,,,,2023-04-01
