id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5563202,Baseball Cards 2023 Topps Chrome Let's Go,Aaron Judge #LGC-32,$170.39,,,,,$51.96,$68.00,$31.00,$51.00,,,$93.50,$187.00,,,,,,2,,,,,2023-06-01
5563217,Baseball Cards 2023 Topps Chrome Let's Go,Aaron Judge [Red] #LGC-32,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563207,Baseball Cards 2023 Topps Chrome Let's Go,Adley Rutschman #LGC-37,$61.03,,,,,$195.00,$254.00,$117.00,$117.00,,,$26.80,$66.99,,,,,,2,,,,,2023-06-01
5563222,Baseball Cards 2023 Topps Chrome Let's Go,Adley Rutschman [Red] #LGC-37,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6032589,Baseball Cards 2023 Topps Chrome Let's Go,Anthony Volpe #LG-51,$20.00,,$23.50,,,$114.61,$149.00,$69.00,$69.00,,,$6.60,$21.99,,,$7.80,$25.99,,7,,,,,2023-06-01
6032604,Baseball Cards 2023 Topps Chrome Let's Go,Anthony Volpe [Red] #LG-51,$356.40,,,,,$275.00,$358.00,$165.00,$165.00,,,$196.00,$392.00,,,,,,2,,,,,2023-06-01
6032619,Baseball Cards 2023 Topps Chrome Let's Go,Anthony Volpe [Superfractor] #LG-51,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563206,Baseball Cards 2023 Topps Chrome Let's Go,Austin Riley #LGC-36,$27.99,,,,$39.99,$48.12,$63.00,$29.00,$29.00,,,$9.30,$30.99,,,,,,7,,,,,2023-06-01
5563221,Baseball Cards 2023 Topps Chrome Let's Go,Austin Riley [Red] #LGC-36,,,,$176.10,$194.00,$399.90,$520.00,$240.00,$240.00,,,,,,,,,,2,,,,,2023-06-01
6032596,Baseball Cards 2023 Topps Chrome Let's Go,Bobby Miller #LG-58,,,,,,$33.93,$44.00,$20.00,$20.00,,,,,,,,,,1,,,,,2023-06-01
6032611,Baseball Cards 2023 Topps Chrome Let's Go,Bobby Miller [Red] #LG-58,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6032626,Baseball Cards 2023 Topps Chrome Let's Go,Bobby Miller [Superfractor] #LG-58,$311.00,,,,,,,,,,,$171.00,$342.00,,,,,,1,,,,,2023-06-01
5563209,Baseball Cards 2023 Topps Chrome Let's Go,Brett Baty #LGC-39,$19.99,,,,,$50.00,$65.00,$30.00,$29.25,,,$6.60,$21.99,,,,,,3,,,,,2023-06-01
5563224,Baseball Cards 2023 Topps Chrome Let's Go,Brett Baty [Red] #LGC-39,,,,$199.99,$220.00,,,,,,,,,,,,,,1,,,,,2023-06-01
5563214,Baseball Cards 2023 Topps Chrome Let's Go,Byron Buxton #LGC-44,$20.00,,,,,$39.00,$51.00,$23.00,$23.00,,,$6.60,$21.99,,,,,,4,,,,,2023-06-01
5563229,Baseball Cards 2023 Topps Chrome Let's Go,Byron Buxton [Red] #LGC-44,$52.00,,,,,,,,,,,$22.80,$56.99,,,,,,1,,,,,2023-06-01
5563215,Baseball Cards 2023 Topps Chrome Let's Go,Christopher Morel #LGC-45,$99.99,,,,,$41.86,$54.00,$25.00,$25.00,,,$55.00,$110.00,,,,,,2,,,,,2023-06-01
5563230,Baseball Cards 2023 Topps Chrome Let's Go,Christopher Morel [Red] #LGC-45,$200.00,,,,,$177.50,$231.00,$107.00,$202.50,,,$110.00,$220.00,,,,,,2,,,,,2023-06-01
6032588,Baseball Cards 2023 Topps Chrome Let's Go,Corey Seager #LG-50,$55.79,,,,,$41.87,$54.00,$25.00,$25.00,,,$24.40,$60.99,,,,,,4,,,,,2023-06-01
6032603,Baseball Cards 2023 Topps Chrome Let's Go,Corey Seager [Red] #LG-50,$175.00,,,,,,,,$164.00,,,$96.50,$193.00,,,,,,1,,,,,2023-06-01
6032618,Baseball Cards 2023 Topps Chrome Let's Go,Corey Seager [Superfractor] #LG-50,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6032598,Baseball Cards 2023 Topps Chrome Let's Go,Eury Perez #LG-60,$45.00,,,,,,,,,,,$20.00,$49.99,,,,,,2,,,,,2023-06-01
6032613,Baseball Cards 2023 Topps Chrome Let's Go,Eury Perez [Red] #LG-60,,,,,,$397.00,$516.00,$238.00,$238.00,,,,,,,,,,1,,,,,2023-06-01
6032628,Baseball Cards 2023 Topps Chrome Let's Go,Eury Perez [Superfractor] #LG-60,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563212,Baseball Cards 2023 Topps Chrome Let's Go,Ezequiel Tovar #LGC-42,$36.00,,,,,$55.86,$73.00,$34.00,$16.50,,,$16.00,$39.99,,,,,,3,,,,,2023-06-01
5563227,Baseball Cards 2023 Topps Chrome Let's Go,Ezequiel Tovar [Red] #LGC-42,$124.72,,,,,$168.50,$219.00,$101.00,$101.00,,,$68.50,$137.00,,,,,,2,,,,,2023-06-01
5563203,Baseball Cards 2023 Topps Chrome Let's Go,Fernando Tatis Jr. #LGC-33,$64.97,,,,,$70.00,$91.00,$42.00,$42.00,,,$28.40,$70.99,,,,,,5,,,,,2023-06-01
5563218,Baseball Cards 2023 Topps Chrome Let's Go,Fernando Tatis Jr. [Red] #LGC-33,$32.00,,,,,,,,,,,$10.50,$34.99,,,,,,1,,,,,2023-06-01
6032586,Baseball Cards 2023 Topps Chrome Let's Go,Gerrit Cole #LG-48,$36.39,,,,,$43.50,$57.00,$26.00,$26.00,,,$16.00,$39.99,,,,,,3,,,,,2023-06-01
6032601,Baseball Cards 2023 Topps Chrome Let's Go,Gerrit Cole [Red] #LG-48,$33.75,,,,,,,,,,,$14.80,$36.99,,,,,,1,,,,,2023-06-01
6032616,Baseball Cards 2023 Topps Chrome Let's Go,Gerrit Cole [Superfractor] #LG-48,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6032597,Baseball Cards 2023 Topps Chrome Let's Go,James Outman #LG-59,$16.05,,,,,$36.57,$48.00,$22.00,$22.00,,,$4.50,$17.99,,,,,,3,,,,,2023-06-01
6032612,Baseball Cards 2023 Topps Chrome Let's Go,James Outman [Red] #LG-59,$315.00,,,,,,,,,,,$173.50,$347.00,,,,,,0,,,,,2023-06-01
6032627,Baseball Cards 2023 Topps Chrome Let's Go,James Outman [Superfractor] #LG-59,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6032593,Baseball Cards 2023 Topps Chrome Let's Go,Jordan Walker #LG-55,$43.76,,,,,$43.00,$56.00,$26.00,$26.00,,,$19.20,$47.99,,,,,,6,,,,,2023-06-01
