id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5563231,Baseball Cards 2023 Topps Chrome Radiating Rookies,Adley Rutschman #RR-1,$97.00,,$44.32,$78.79,$138.00,$140.43,$183.00,$84.00,$185.00,,,$53.50,$107.00,,,$19.60,$48.99,,31,,,,,2023-06-01
5563248,Baseball Cards 2023 Topps Chrome Radiating Rookies,Anthony Volpe #RR-18,$37.95,,$61.00,$71.35,$152.00,$155.00,$202.00,$93.00,$79.69,,,$16.80,$41.99,,,$26.80,$66.99,,36,,,,,2023-06-01
6032724,Baseball Cards 2023 Topps Chrome Radiating Rookies,Bobby Miller #RR-25,$8.00,,$11.53,$14.91,$25.00,$26.00,$34.00,$16.00,$20.50,,,$1.80,$8.79,,,$3.30,$12.99,,40,,,,,2023-06-01
6032734,Baseball Cards 2023 Topps Chrome Radiating Rookies,Bobby Miller [Superfractor] #RR-25,$1999.00,,,,,,,,,,,$1319.40,$2199.00,,,,,,0,,,,,2023-06-01
6032728,Baseball Cards 2023 Topps Chrome Radiating Rookies,Brayan Rocchio #RR-29,$8.00,,$4.75,$11.89,$14.99,$47.50,$62.00,$29.00,$29.00,,,$1.80,$8.79,,,$1.00,$5.19,,48,,,,,2023-06-01
6032738,Baseball Cards 2023 Topps Chrome Radiating Rookies,Brayan Rocchio [Superfractor] #RR-29,$351.00,,,,,,,,,,,$193.00,$386.00,,,,,,1,,,,,2023-06-01
5563239,Baseball Cards 2023 Topps Chrome Radiating Rookies,Brett Baty #RR-9,$19.66,,$21.06,$21.25,$35.00,$80.00,$104.00,$48.00,$36.00,,,$6.60,$21.99,,,$6.90,$22.99,,25,,,,,2023-06-01
6032720,Baseball Cards 2023 Topps Chrome Radiating Rookies,Christopher Morel #RR-21,$6.18,,$8.37,$14.68,$21.03,$21.26,$28.00,$13.00,$27.26,,,$1.40,$6.79,,,$1.80,$9.19,,44,,,,,2023-06-01
6032730,Baseball Cards 2023 Topps Chrome Radiating Rookies,Christopher Morel [Superfractor] #RR-21,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563233,Baseball Cards 2023 Topps Chrome Radiating Rookies,Corbin Carroll #RR-3,$123.13,,$66.33,$110.00,$151.76,$211.05,$274.00,$127.00,$150.00,,,$67.50,$135.00,,,$29.20,$72.99,,41,,,,,2023-06-01
6032725,Baseball Cards 2023 Topps Chrome Radiating Rookies,Eury Perez #RR-26,$19.99,,$21.31,$32.50,$36.00,$58.14,$76.00,$35.00,$42.50,,,$6.60,$21.99,,,$6.90,$22.99,,51,,,,,2023-06-01
6032735,Baseball Cards 2023 Topps Chrome Radiating Rookies,Eury Perez [Superfractor] #RR-26,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563242,Baseball Cards 2023 Topps Chrome Radiating Rookies,Ezequiel Tovar #RR-12,$19.99,,$22.28,$30.52,$59.92,$72.32,$94.00,$43.00,$43.50,,,$6.60,$21.99,,,$7.50,$24.99,,25,,,,,2023-06-01
5563237,Baseball Cards 2023 Topps Chrome Radiating Rookies,Francisco Alvarez #RR-7,$30.35,,$29.94,$33.00,$55.00,$56.08,$73.00,$34.00,$49.83,,,$9.90,$32.99,,,$9.90,$32.99,,30,,,,,2023-06-01
5563234,Baseball Cards 2023 Topps Chrome Radiating Rookies,Gabriel Moreno #RR-4,$12.62,,$15.30,$22.74,$73.27,$75.00,$98.00,$45.00,$16.50,,,$3.50,$13.99,,,$4.30,$16.99,,21,,,,,2023-06-01
5563247,Baseball Cards 2023 Topps Chrome Radiating Rookies,Grayson Rodriguez #RR-17,$18.55,$17.01,$20.13,$33.00,$58.77,$77.00,$100.00,$46.00,$46.00,,,$5.00,$19.99,$4.80,$18.99,$6.60,$21.99,,23,,,,,2023-06-01
5563240,Baseball Cards 2023 Topps Chrome Radiating Rookies,Gunnar Henderson #RR-10,$239.02,,$146.70,$205.00,$311.65,$375.90,$489.00,$226.00,$305.00,,,$131.50,$263.00,,,$80.50,$161.00,,36,,,,,2023-06-01
6032726,Baseball Cards 2023 Topps Chrome Radiating Rookies,James Outman #RR-27,$7.01,,$6.05,$13.95,$15.00,$34.90,$45.00,$21.00,$5.50,,,$1.50,$7.69,,,$1.30,$6.69,,43,,,,,2023-06-01
6032736,Baseball Cards 2023 Topps Chrome Radiating Rookies,James Outman [Superfractor] #RR-27,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563243,Baseball Cards 2023 Topps Chrome Radiating Rookies,Jordan Walker #RR-13,$85.00,,$40.00,$91.38,$101.00,$232.56,$302.00,$140.00,$140.00,,,$37.60,$93.99,,,$17.60,$43.99,,36,,,,,2023-06-01
5563236,Baseball Cards 2023 Topps Chrome Radiating Rookies,Josh Jung #RR-6,$33.53,,$32.04,$35.00,$50.00,$85.24,$111.00,$51.00,$22.50,,,$14.80,$36.99,,,$10.50,$34.99,,32,,,,,2023-06-01
5563246,Baseball Cards 2023 Topps Chrome Radiating Rookies,Kodai Senga #RR-16,$17.75,,$19.48,$31.24,$36.00,$36.87,$48.00,$22.00,$22.00,,,$5.00,$19.99,,,$6.30,$20.99,,22,,,,,2023-06-01
5563250,Baseball Cards 2023 Topps Chrome Radiating Rookies,Masataka Yoshida #RR-20,$19.75,,$21.13,$22.50,$49.63,$52.81,$69.00,$32.00,$48.79,,,$6.60,$21.99,,,$6.90,$22.99,,30,,,,,2023-06-01
6032727,Baseball Cards 2023 Topps Chrome Radiating Rookies,Matt McLain #RR-28,$30.93,,$28.00,$35.55,$61.00,$62.12,$81.00,$37.00,$62.99,,,$10.20,$33.99,,,$9.30,$30.99,,56,,,,,2023-06-01
6032737,Baseball Cards 2023 Topps Chrome Radiating Rookies,Matt McLain [Superfractor] #RR-28,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563235,Baseball Cards 2023 Topps Chrome Radiating Rookies,Michael Harris II #RR-5,$74.84,,$35.00,$83.00,$156.87,$184.37,$240.00,$111.00,$197.75,,,$32.80,$81.99,,,$15.60,$38.99,,36,,,,,2023-06-01
5563249,Baseball Cards 2023 Topps Chrome Radiating Rookies,Miguel Vargas #RR-19,$20.00,,$21.31,$23.00,$34.00,$35.00,$46.00,$21.00,$22.77,,,$6.60,$21.99,,,$6.90,$22.99,,30,,,,,2023-06-01
6032721,Baseball Cards 2023 Topps Chrome Radiating Rookies,Nolan Gorman #RR-22,$11.99,,$14.78,$24.22,$29.99,$31.01,$40.00,$19.00,$37.07,,,$3.30,$12.99,,,$4.00,$15.99,,41,,,,,2023-06-01
6032731,Baseball Cards 2023 Topps Chrome Radiating Rookies,Nolan Gorman [Superfractor] #RR-22,$800.00,,,,,,,,,,,$528.00,$880.00,,,,,,1,,,,,2023-06-01
5563245,Baseball Cards 2023 Topps Chrome Radiating Rookies,Oscar Colas #RR-15,$5.37,,$9.36,$21.71,$31.91,$43.76,$57.00,$26.00,$21.87,,,$1.20,$5.89,,,$2.00,$9.99,,17,,,,,2023-06-01
6032723,Baseball Cards 2023 Topps Chrome Radiating Rookies,Oswald Peraza #RR-24,$7.25,,$10.91,$12.88,$21.89,$29.74,$39.00,$18.00,$21.09,,,$1.60,$7.99,,,$3.00,$11.99,,36,,,,,2023-06-01
6032733,Baseball Cards 2023 Topps Chrome Radiating Rookies,Oswald Peraza [Superfractor] #RR-24,$499.99,,,,,,,,,,,$330.00,$550.00,,,,,,0,,,,,2023-06-01
5563232,Baseball Cards 2023 Topps Chrome Radiating Rookies,Riley Greene #RR-2,$50.00,,$46.00,$61.99,$117.00,$119.63,$156.00,$72.00,$72.50,,,$22.00,$54.99,,,$20.40,$50.99,,40,,,,,2023-06-01
5563238,Baseball Cards 2023 Topps Chrome Radiating Rookies,Shea Langeliers #RR-8,$37.80,,$28.00,$31.00,$93.50,$116.36,$151.00,$70.00,$41.13,,,$16.80,$41.99,,,$9.30,$30.99,,34,,,,,2023-06-01
6032729,Baseball Cards 2023 Topps Chrome Radiating Rookies,Taj Bradley #RR-30,$10.04,,$13.21,$19.95,$24.00,$24.06,$31.00,$14.00,$12.96,,,$2.80,$10.99,,,$3.80,$14.99,,104,,,,,2023-06-01
6032739,Baseball Cards 2023 Topps Chrome Radiating Rookies,Taj Bradley [Superfractor] #RR-30,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5563241,Baseball Cards 2023 Topps Chrome Radiating Rookies,Triston Casas #RR-11,$15.74,,$11.20,$29.99,$51.67,$66.92,$87.00,$40.00,$51.00,,,$4.30,$16.99,,,$3.00,$11.99,,27,,,,,2023-06-01
5563244,Baseball Cards 2023 Topps Chrome Radiating Rookies,Vaughn Grissom #RR-14,$13.78,,$12.81,$15.26,$17.00,$37.51,$49.00,$23.00,$11.38,,,$3.80,$14.99,,,$3.50,$13.99,,26,,,,,2023-06-01
6032722,Baseball Cards 2023 Topps Chrome Radiating Rookies,Zach Neto #RR-23,$26.41,$14.00,$17.81,$37.60,$41.00,$83.68,$109.00,$50.00,$51.50,,,$8.70,$28.99,$3.80,$14.99,$5.00,$19.99,,71,,,,,2023-06-01
6032732,Baseball Cards 2023 Topps Chrome Radiating Rookies,Zach Neto [Superfractor] #RR-23,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
