id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5563251,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Adley Rutschman #RRA-AR,$888.88,,,$1127.07,$1201.00,$1225.00,$1593.00,$735.00,$735.00,,,$586.80,$978.00,,,,,,4,,,,,2023-06-01
5563252,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Anthony Volpe #RRA-AV,$1750.00,,,,,$2500.00,$3250.00,$1500.00,$1500.00,,,$1155.00,$1925.00,,,,,,3,,,,,2023-06-01
5563253,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Brett Baty #RRA-BB,$150.49,,,,,$499.99,$650.00,$300.00,$300.00,,,$83.00,$166.00,,,,,,4,,,,,2023-06-01
5563255,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Christopher Morel #RRA-CM,$300.37,,,$160.00,$176.00,$1276.89,$1660.00,$766.00,$766.00,,,$165.00,$330.00,,,,,,4,,,,,2023-06-01
5563254,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Corbin Carroll #RRA-CC,$1590.32,,,$1500.00,$1650.00,$2999.99,$3900.00,$1800.00,$1800.00,,,$1049.40,$1749.00,,,,,,6,,,,,2023-06-01
5563256,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Ezequiel Duran #RRA-ED,$191.30,,,$191.07,$210.00,$229.00,$298.00,$137.00,$137.00,,,$105.00,$210.00,,,,,,3,,,,,2023-06-01
5563257,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Gunnar Henderson #RRA-GH,$2249.99,,,$1425.00,$1534.00,$2412.50,$3136.00,$1448.00,$2250.00,,,$1485.00,$2475.00,,,,,,5,,,,,2023-06-01
5563258,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Michael Harris II #RRA-MH,$608.00,,,$665.80,$732.00,$1495.95,$1945.00,$898.00,$898.00,,,$401.40,$669.00,,,,,,3,,,,,2023-06-01
5563260,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Oswald Peraza #RRA-OP,$314.48,,,$297.00,$327.00,$399.99,$520.00,$240.00,$240.00,,,$173.00,$346.00,,,,,,3,,,,,2023-06-01
5563259,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Oswaldo Cabrera #RRA-OC,$230.00,,,,,,,,,,,$126.50,$253.00,,,,,,2,,,,,2023-06-01
5563261,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Riley Greene #RRA-RG,$536.55,,,$500.00,$550.00,$1375.00,$1788.00,$825.00,$825.00,,,$354.00,$590.00,,,,,,7,,,,,2023-06-01
5563262,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Triston Casas #RRA-TC,$551.28,,,$538.00,$592.00,,,,,,,$363.60,$606.00,,,,,,5,,,,,2023-06-01
5563263,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Tyler Freeman #RRA-TF,$90.01,,,,,$131.20,$171.00,$79.00,$79.00,,,$39.60,$98.99,,,,,,6,,,,,2023-06-01
5563264,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Vaughn Grissom #RRA-VG,$219.37,,,$525.00,$578.00,$630.00,$819.00,$378.00,$378.00,,,$120.50,$241.00,,,,,,4,,,,,2023-06-01
5563265,Baseball Cards 2023 Topps Chrome Radiating Rookies Autographs,Vinnie Pasquantino #RRA-VP,$209.95,,,,,,,,,,,$115.50,$231.00,,,,,,3,,,,,2023-06-01
