id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5563269,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman #RA-AR,$54.00,,$115.00,$127.00,$128.00,$130.69,$170.00,$78.00,$119.45,,,$23.60,$58.99,,,$63.50,$127.00,,84,,,,,2023-06-01
5563912,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Aqua Wave] #RA-AR,$150.00,$160.00,,$117.50,$129.00,$400.00,$520.00,$240.00,$240.00,,,$82.50,$165.00,$88.00,$176.00,,,,10,,,,,2023-06-01
5563399,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Black & White Mini Diamond] #RA-AR,$322.66,,,$455.00,$501.00,$546.00,$710.00,$328.00,$328.00,,,$177.50,$355.00,,,,,,3,,,,,2023-06-01
5564170,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Blue RayWave] #RA-AR,$300.00,,,$252.50,$278.00,$294.01,$382.00,$176.00,$176.00,,,$165.00,$330.00,,,,,,7,,,,,2023-06-01
5564041,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Blue] #RA-AR,$124.44,,$106.56,$117.00,$230.27,$262.22,$341.00,$157.00,$231.45,,,$68.50,$137.00,,,$58.50,$117.00,,15,,,,,2023-06-01
5564557,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Gold Wave] #RA-AR,$260.00,,,$275.00,$303.00,$480.47,$625.00,$288.00,$288.00,,,$143.00,$286.00,,,,,,4,,,,,2023-06-01
5564428,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Gold] #RA-AR,$280.26,,$102.59,$525.00,$642.01,$1299.99,$1690.00,$780.00,$780.00,,,$154.00,$308.00,,,$56.50,$113.00,,10,,,,,2023-06-01
5564299,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Green] #RA-AR,$119.99,,$102.99,$191.00,$287.48,$446.66,$581.00,$268.00,$205.50,,,$66.00,$132.00,,,$56.50,$113.00,,10,,,,,2023-06-01
5564815,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Orange Wave] #RA-AR,$420.00,,,$999.99,$1100.00,$1725.00,$2243.00,$1035.00,$1035.00,,,$231.00,$462.00,,,,,,3,,,,,2023-06-01
5564686,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Orange] #RA-AR,$1047.53,,$158.74,$521.00,$573.00,$586.26,$762.00,$352.00,$352.00,,,$691.20,$1152.00,,,$87.50,$175.00,,6,,,,,2023-06-01
5563657,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Purple Speckle] #RA-AR,$148.85,,$97.00,$183.50,$294.00,$300.00,$390.00,$180.00,$121.38,,,$82.00,$164.00,,,$53.50,$107.00,,15,,,,,2023-06-01
5563785,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Purple] #RA-AR,$130.00,,$69.52,$105.54,$165.00,$168.00,$218.00,$101.00,$100.00,,,$71.50,$143.00,,,$30.40,$75.99,,21,,,,,2023-06-01
5565073,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Red Wave] #RA-AR,$400.00,,,$1055.00,$1161.00,,,,,,,$220.00,$440.00,,,,,,2,,,,,2023-06-01
5564944,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Red] #RA-AR,$999.99,,,$960.00,$1056.00,,,,,,,$660.00,$1100.00,,,,,,2,,,,,2023-06-01
5563528,Baseball Cards 2023 Topps Chrome Rookie Autographs,Adley Rutschman [Refractor] #RA-AR,$68.00,,$56.06,$91.44,$142.50,$208.72,$271.00,$125.00,$189.25,,,$30.00,$74.99,,,$24.80,$61.99,,40,,,,,2023-06-01
5563266,Baseball Cards 2023 Topps Chrome Rookie Autographs,Alec Burleson #RA-AB,$11.24,,$14.17,$24.16,$28.00,$59.17,$77.00,$36.00,$36.00,,,$3.00,$11.99,,,$4.00,$15.99,,15,,,,,2023-06-01
5563909,Baseball Cards 2023 Topps Chrome Rookie Autographs,Alec Burleson [Aqua Wave] #RA-AB,$19.99,,$21.31,$35.16,$64.52,$100.00,$130.00,$60.00,$60.00,,,$6.60,$21.99,,,$6.90,$22.99,,9,,,,,2023-06-01
5563396,Baseball Cards 2023 Topps Chrome Rookie Autographs,Alec Burleson [Black & White Mini Diamond] #RA-AB,$136.50,,,,,,,,,,,$75.00,$150.00,,,,,,2,,,,,2023-06-01
5564167,Baseball Cards 2023 Topps Chrome Rookie Autographs,Alec Burleson [Blue RayWave] #RA-AB,$21.05,,$22.17,$25.00,$66.87,$84.48,$110.00,$51.00,$51.00,,,$6.90,$22.99,,,$7.20,$23.99,,7,,,,,2023-06-01
5564038,Baseball Cards 2023 Topps Chrome Rookie Autographs,Alec Burleson [Blue] #RA-AB,$32.72,,$25.10,$30.30,$74.87,$93.77,$122.00,$56.00,$56.00,,,$14.40,$35.99,,,$8.40,$27.99,,14,,,,,2023-06-01
