id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5565313,Baseball Cards 2023 Topps Chrome TacoFractor,Aaron Hicks #TF-114,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565308,Baseball Cards 2023 Topps Chrome TacoFractor,Aaron Judge #TF-109,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565227,Baseball Cards 2023 Topps Chrome TacoFractor,Adam Duvall #TF-28,$94.85,,,,,,,,,,,$52.00,$104.00,,,,,,1,,,,,2023-06-01
5565222,Baseball Cards 2023 Topps Chrome TacoFractor,Adam Frazier #TF-23,$15.00,,,,,,,,,,,$4.30,$16.99,,,,,,1,,,,,2023-06-01
5565218,Baseball Cards 2023 Topps Chrome TacoFractor,Adley Rutschman #TF-19,$499.99,,,,,,,,,,,$330.00,$550.00,,,,,,1,,,,,2023-06-01
5565366,Baseball Cards 2023 Topps Chrome TacoFractor,Adolis Garcia #TF-167,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565373,Baseball Cards 2023 Topps Chrome TacoFractor,Alejandro Kirk #TF-174,$126.20,,,,,,,,,,,$69.50,$139.00,,,,,,1,,,,,2023-06-01
5565268,Baseball Cards 2023 Topps Chrome TacoFractor,Alex Bregman #TF-69,$350.00,,,,,,,,,,,$192.50,$385.00,,,,,,1,,,,,2023-06-01
5565379,Baseball Cards 2023 Topps Chrome TacoFractor,Alex Call #TF-177,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565237,Baseball Cards 2023 Topps Chrome TacoFractor,Andrew Benintendi #TF-38,$99.99,,,,,,,,,,,$55.00,$110.00,,,,,,1,,,,,2023-06-01
5565328,Baseball Cards 2023 Topps Chrome TacoFractor,Andrew McCutchen #TF-129,$185.00,,,,,,,,,,,$102.00,$204.00,,,,,,1,,,,,2023-06-01
5565382,Baseball Cards 2023 Topps Chrome TacoFractor,Anthony Volpe #TF-183,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565220,Baseball Cards 2023 Topps Chrome TacoFractor,Austin Hays #TF-21,$160.00,,,,,,,,,,,$88.00,$176.00,,,,,,1,,,,,2023-06-01
5565331,Baseball Cards 2023 Topps Chrome TacoFractor,Austin Hedges #TF-132,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565336,Baseball Cards 2023 Topps Chrome TacoFractor,Austin Nola #TF-137,$389.00,,,$299.00,$329.00,,,,,,,$214.00,$428.00,,,,,,1,,,,,2023-06-01
5565248,Baseball Cards 2023 Topps Chrome TacoFractor,Bo Naylor #TF-49,$125.50,,,,,,,,,,,$69.00,$138.00,,,,,,1,,,,,2023-06-01
5565272,Baseball Cards 2023 Topps Chrome TacoFractor,Bobby Witt Jr. #TF-73,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565393,Baseball Cards 2023 Topps Chrome TacoFractor,Brandon Belt #TF-194,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565202,Baseball Cards 2023 Topps Chrome TacoFractor,Brandon Drury #TF-3,$235.53,,,,,,,,,,,$129.50,$259.00,,,,,,1,,,,,2023-06-01
5565306,Baseball Cards 2023 Topps Chrome TacoFractor,Brandon Nimmo #TF-107,$95.05,,,,,,,,,,,$52.50,$105.00,,,,,,1,,,,,2023-06-01
5565352,Baseball Cards 2023 Topps Chrome TacoFractor,Brendan Donovan #TF-153,$146.75,,,,,,,,,,,$80.50,$161.00,,,,,,1,,,,,2023-06-01
5565292,Baseball Cards 2023 Topps Chrome TacoFractor,Brian Anderson #TF-93,$137.66,,,,,,,,,,,$75.50,$151.00,,,,,,2,,,,,2023-06-01
5565327,Baseball Cards 2023 Topps Chrome TacoFractor,Bryan Reynolds #TF-128,$176.25,,,,,,,,,,,$97.00,$194.00,,,,,,1,,,,,2023-06-01
5565320,Baseball Cards 2023 Topps Chrome TacoFractor,Bryce Harper #TF-121,$2149.50,,,,,,,,,,,$1418.40,$2364.00,,,,,,1,,,,,2023-06-01
5565367,Baseball Cards 2023 Topps Chrome TacoFractor,Bubba Thompson #TF-168,$284.24,,,,$100.00,,,,,,,$156.50,$313.00,,,,,,2,,,,,2023-06-01
5565296,Baseball Cards 2023 Topps Chrome TacoFractor,Byron Buxton #TF-97,$81.00,,,,,,,,,,,$35.60,$88.99,,,,,,1,,,,,2023-06-01
5565376,Baseball Cards 2023 Topps Chrome TacoFractor,CJ Abrams #TF-178,$599.00,,,,,,,,,,,$395.40,$659.00,,,,,,1,,,,,2023-06-01
5565329,Baseball Cards 2023 Topps Chrome TacoFractor,Canaan Smith Njigba #TF-130,$340.00,,,,,,,,,,,$187.00,$374.00,,,,,,1,,,,,2023-06-01
5565241,Baseball Cards 2023 Topps Chrome TacoFractor,Carlos Perez #TF-42,,,,$251.50,$277.00,,,,,,,,,,,,,,1,,,,,2023-06-01
5565389,Baseball Cards 2023 Topps Chrome TacoFractor,Carlos Santana #TF-190,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565219,Baseball Cards 2023 Topps Chrome TacoFractor,Cedric Mullins #TF-20,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565254,Baseball Cards 2023 Topps Chrome TacoFractor,Charlie Blackmon #TF-55,$350.00,,,,,,,,,,,$192.50,$385.00,,,,,,1,,,,,2023-06-01
5565270,Baseball Cards 2023 Topps Chrome TacoFractor,Chas McCormick #TF-71,$97.00,,,,,,,,,,,$53.50,$107.00,,,,,,1,,,,,2023-06-01
5565281,Baseball Cards 2023 Topps Chrome TacoFractor,Chris Taylor #TF-82,$306.00,,,,,,,,,,,$168.50,$337.00,,,,,,1,,,,,2023-06-01
5565226,Baseball Cards 2023 Topps Chrome TacoFractor,Christian Arroyo #TF-27,$189.99,,,,,,,,,,,$104.50,$209.00,,,,,,1,,,,,2023-06-01
5565299,Baseball Cards 2023 Topps Chrome TacoFractor,Christian Vazquez #TF-100,$65.00,,,,,,,,,,,$28.80,$71.99,,,,,,1,,,,,2023-06-01
5565291,Baseball Cards 2023 Topps Chrome TacoFractor,Christian Yelich #TF-92,$250.00,,,,,,,,,,,$137.50,$275.00,,,,,,1,,,,,2023-06-01
5565231,Baseball Cards 2023 Topps Chrome TacoFractor,Christopher Morel #TF-32,,,,$175.00,$193.00,,,,,,,,,,,,,,1,,,,,2023-06-01
5565317,Baseball Cards 2023 Topps Chrome TacoFractor,Conner Capel #TF-118,$339.99,,,,,,,,,,,$187.00,$374.00,,,,,,0,,,,,2023-06-01
5565206,Baseball Cards 2023 Topps Chrome TacoFractor,Corbin Carroll #TF-7,$1006.90,,,$2797.89,$3078.00,,,,,,,$664.80,$1108.00,,,,,,2,,,,,2023-06-01
5565318,Baseball Cards 2023 Topps Chrome TacoFractor,Cristian Pache #TF-119,$325.00,,,,,,,,,,,$179.00,$358.00,,,,,,1,,,,,2023-06-01
5565370,Baseball Cards 2023 Topps Chrome TacoFractor,Daulton Varsho #TF-171,$127.50,,,,,$124.50,$162.00,$75.00,$75.00,,,$70.00,$140.00,,,,,,2,,,,,2023-06-01
5565380,Baseball Cards 2023 Topps Chrome TacoFractor,David Fletcher #TF-181,$267.04,,,,,,,,,,,$147.00,$294.00,,,,,,1,,,,,2023-06-01
5565396,Baseball Cards 2023 Topps Chrome TacoFractor,David Villar #TF-197,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565354,Baseball Cards 2023 Topps Chrome TacoFractor,Dylan Carlson #TF-155,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565398,Baseball Cards 2023 Topps Chrome TacoFractor,Dylan Moore #TF-199,$19.99,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2023-06-01
5565216,Baseball Cards 2023 Topps Chrome TacoFractor,Eddie Rosario #TF-17,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565325,Baseball Cards 2023 Topps Chrome TacoFractor,Edmundo Sosa #TF-126,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565307,Baseball Cards 2023 Topps Chrome TacoFractor,Eduardo Escobar #TF-108,$150.00,,,,,,,,,,,$82.50,$165.00,,,,,,1,,,,,2023-06-01
5565259,Baseball Cards 2023 Topps Chrome TacoFractor,Elias Diaz #TF-60,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565240,Baseball Cards 2023 Topps Chrome TacoFractor,Elvis Andrus #TF-41,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565229,Baseball Cards 2023 Topps Chrome TacoFractor,Enrique Hernandez #TF-30,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565262,Baseball Cards 2023 Topps Chrome TacoFractor,Eric Haase #TF-63,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565346,Baseball Cards 2023 Topps Chrome TacoFractor,Eugenio Suarez #TF-147,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565207,Baseball Cards 2023 Topps Chrome TacoFractor,Evan Longoria #TF-8,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565364,Baseball Cards 2023 Topps Chrome TacoFractor,Ezequiel Duran #TF-165,$250.00,,,,,,,,,,,$137.50,$275.00,,,,,,1,,,,,2023-06-01
5565255,Baseball Cards 2023 Topps Chrome TacoFractor,Ezequiel Tovar #TF-56,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565302,Baseball Cards 2023 Topps Chrome TacoFractor,Francisco Alvarez #TF-103,$1099.99,,$260.00,,,,,,,,,$726.00,$1210.00,,,$143.00,$286.00,,1,,,,,2023-06-01
5565357,Baseball Cards 2023 Topps Chrome TacoFractor,Francisco Mejia #TF-158,$393.00,,,,,,,,,,,$216.00,$432.00,,,,,,1,,,,,2023-06-01
5565279,Baseball Cards 2023 Topps Chrome TacoFractor,Freddie Freeman #TF-80,$166.00,,,,,,,,,,,$91.50,$183.00,,,,,,1,,,,,2023-06-01
