id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6032740,Baseball Cards 2023 Topps Chrome Titans,Aaron Judge #CT-11,$2.60,$2.25,$16.99,$22.05,$24.00,$68.36,$89.00,$41.00,$27.34,,,,$2.89,,$2.49,$4.80,$18.99,,284,,,,,2023-06-01
6032760,Baseball Cards 2023 Topps Chrome Titans,Aaron Judge [Gold] #CT-11,$34.00,,$75.00,$83.00,$91.00,$160.00,$208.00,$96.00,$96.00,,,$14.80,$36.99,,,$33.20,$82.99,,6,,,,,2023-06-01
6032750,Baseball Cards 2023 Topps Chrome Titans,Aaron Judge [Green] #CT-11,$25.02,,$25.72,$41.97,$50.00,$51.00,$66.00,$31.00,$31.00,,,$8.40,$27.99,,,$8.40,$27.99,,8,,,,,2023-06-01
6032770,Baseball Cards 2023 Topps Chrome Titans,Aaron Judge [Orange] #CT-11,$50.75,,,$125.00,$138.00,$140.00,$182.00,$84.00,$84.00,,,$22.40,$55.99,,,,,,5,,,,,2023-06-01
6032780,Baseball Cards 2023 Topps Chrome Titans,Aaron Judge [Red] #CT-11,$81.00,,,$125.00,$138.00,,,,,,,$35.60,$88.99,,,,,,2,,,,,2023-06-01
6032790,Baseball Cards 2023 Topps Chrome Titans,Aaron Judge [Superfractor] #CT-11,$600.00,,,,,,,,,,,$396.00,$660.00,,,,,,1,,,,,2023-06-01
5565739,Baseball Cards 2023 Topps Chrome Titans,Adley Rutschman #CT-10,$1.84,,$6.62,$9.71,$11.00,$19.23,$25.00,$7.50,$5.51,,,,$1.99,,,$1.50,$7.29,,149,,,,,2023-06-01
5565759,Baseball Cards 2023 Topps Chrome Titans,Adley Rutschman [Gold] #CT-10,$104.99,,,$72.00,$76.00,$134.85,$175.00,$81.00,$81.00,,,$57.50,$115.00,,,,,,4,,,,,2023-06-01
5565749,Baseball Cards 2023 Topps Chrome Titans,Adley Rutschman [Green] #CT-10,$12.03,,$14.81,$40.00,$44.00,$75.00,$98.00,$45.00,$45.00,,,$3.30,$12.99,,,$4.00,$15.99,,9,,,,,2023-06-01
5565769,Baseball Cards 2023 Topps Chrome Titans,Adley Rutschman [Orange] #CT-10,$300.00,,,,,$249.99,$325.00,$150.00,$150.00,,,$165.00,$330.00,,,,,,2,,,,,2023-06-01
