id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5565963,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Adley Rutschman #UV-14,$32.00,,$17.50,$35.99,$73.71,$75.71,$98.00,$45.00,$50.94,,,$10.50,$34.99,,,$4.80,$18.99,,64,,,,,2023-06-01
5565994,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Adley Rutschman [Gold] #UV-14,$141.89,,$120.73,$188.52,$319.00,$325.00,$423.00,$195.00,$195.00,,,$78.00,$156.00,,,$66.50,$133.00,,8,,,,,2023-06-01
5565979,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Adley Rutschman [Green] #UV-14,$100.50,,,,,,,,$175.00,,,$55.50,$111.00,,,,,,2,,,,,2023-06-01
5566009,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Adley Rutschman [Orange] #UV-14,$113.50,,,,,,,,,,,$62.50,$125.00,,,,,,2,,,,,2023-06-01
5566024,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Adley Rutschman [Red] #UV-14,,,,,$147.50,,,,,,,,,,,,,,1,,,,,2023-06-01
5565959,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Albert Pujols #UV-10,$41.00,,$38.45,$48.99,$54.00,$83.86,$109.00,$50.00,$47.00,,,$18.00,$44.99,,,$16.80,$41.99,,105,,,,,2023-06-01
5565990,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Albert Pujols [Gold] #UV-10,$173.87,,$51.00,$61.03,$64.00,$65.00,$85.00,$39.00,$199.95,,,$95.50,$191.00,,,$22.40,$55.99,,5,,,,,2023-06-01
5565974,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Albert Pujols [Green] #UV-10,$98.29,,,$26.55,$29.00,$77.51,$101.00,$47.00,$47.00,,,$54.00,$108.00,,,,,,2,,,,,2023-06-01
5566005,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Albert Pujols [Orange] #UV-10,$155.00,,,,,,,,,,,$85.50,$171.00,,,,,,1,,,,,2023-06-01
5566020,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Albert Pujols [Red] #UV-10,$171.03,,,,,,,,,,,$94.00,$188.00,,,,,,1,,,,,2023-06-01
5565960,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Bo Jackson #UV-11,$50.25,,$30.86,$66.47,$73.00,$129.99,$169.00,$78.00,$57.95,,,$22.00,$54.99,,,$10.20,$33.99,,69,,,,,2023-06-01
5565991,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Bo Jackson [Gold] #UV-11,$63.42,,,,,,,,,,,$28.00,$69.99,,,,,,1,,,,,2023-06-01
5565975,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Bo Jackson [Green] #UV-11,$65.00,,,$45.00,$50.00,$66.00,$86.00,$40.00,$40.00,,,$28.80,$71.99,,,,,,4,,,,,2023-06-01
5566006,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Bo Jackson [Orange] #UV-11,$249.00,,,$121.00,$133.00,$259.99,$338.00,$156.00,$156.00,,,$137.00,$274.00,,,,,,4,,,,,2023-06-01
5566021,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Bo Jackson [Red] #UV-11,$410.50,,,,,,,,,,,$226.00,$452.00,,,,,,1,,,,,2023-06-01
5565951,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Bryce Harper #UV-2,$41.00,,$35.00,$62.04,$68.00,$123.92,$161.00,$74.00,$50.00,,,$18.00,$44.99,,,$15.60,$38.99,,108,,,,,2023-06-01
5565982,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Bryce Harper [Gold] #UV-2,$120.00,,,,,,,,,,,$66.00,$132.00,,,,,,1,,,,,2023-06-01
5565966,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Bryce Harper [Green] #UV-2,$145.00,,,,,$175.00,$228.00,$105.00,$105.00,,,$80.00,$160.00,,,,,,5,,,,,2023-06-01
5565997,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Bryce Harper [Orange] #UV-2,$18.00,,,,,,,,,,,$5.00,$19.99,,,,,,1,,,,,2023-06-01
5566012,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Bryce Harper [Red] #UV-2,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565952,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Derek Jeter #UV-3,$54.58,,$43.20,$71.43,$97.08,$129.75,$169.00,$78.00,$85.00,,,$24.00,$59.99,,,$19.20,$47.99,,116,,,,,2023-06-01
5565983,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Derek Jeter [Gold] #UV-3,$102.50,,,$51.00,$56.00,$169.99,$221.00,$102.00,$102.00,,,$56.50,$113.00,,,,,,4,,,,,2023-06-01
5565967,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Derek Jeter [Green] #UV-3,$128.25,,,$77.91,$86.00,$137.50,$179.00,$83.00,$83.00,,,$70.50,$141.00,,,,,,5,,,,,2023-06-01
5565998,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Derek Jeter [Orange] #UV-3,$107.50,,,$84.50,$93.00,,,,,,,$59.00,$118.00,,,,,,4,,,,,2023-06-01
5566013,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Derek Jeter [Red] #UV-3,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565955,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Freddie Freeman #UV-6,$42.06,,$22.64,$42.63,$47.00,$121.06,$157.00,$73.00,$51.55,,,$18.40,$45.99,,,$7.50,$24.99,,92,,,,,2023-06-01
5565986,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Freddie Freeman [Gold] #UV-6,$105.48,,,$171.25,$188.00,,,,,,,$58.00,$116.00,,,,,,3,,,,,2023-06-01
5565970,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars,Freddie Freeman [Green] #UV-6,$50.00,,,$49.99,$55.00,$122.50,$159.00,$74.00,$74.00,,,$22.00,$54.99,,,,,,5,,,,,2023-06-01
