id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5566027,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Adley Rutschman #UVA-AR,$358.10,,,$175.26,$193.00,$234.97,$305.00,$141.00,$141.00,,,$197.00,$394.00,,,,,,6,,,,,2023-06-01
5566039,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Adley Rutschman [Orange] #UVA-AR,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5566051,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Adley Rutschman [Red] #UVA-AR,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5566026,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Albert Pujols #UVA-AP,$496.57,,,$535.00,$589.00,,,,,,,$327.60,$546.00,,,,,,4,,,,,2023-06-01
5566038,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Albert Pujols [Orange] #UVA-AP,$299.37,,,,,,,,,,,$164.50,$329.00,,,,,,1,,,,,2023-06-01
5566050,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Albert Pujols [Red] #UVA-AP,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5566029,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Bo Jackson #UVA-BJ,$249.74,,,,,,,,,,,$137.50,$275.00,,,,,,1,,,,,2023-06-01
5566041,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Bo Jackson [Orange] #UVA-BJ,,,$239.01,,,,,,,,,,,,,$131.50,$263.00,,1,,,,,2023-06-01
5566053,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Bo Jackson [Red] #UVA-BJ,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5566028,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Bryce Harper #UVA-BH,$899.99,,,,,$499.99,$650.00,$300.00,$300.00,,,$594.00,$990.00,,,,,,2,,,,,2023-06-01
5566040,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Bryce Harper [Orange] #UVA-BH,$377.00,,,,,,,,,,,$207.50,$415.00,,,,,,1,,,,,2023-06-01
5566052,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Bryce Harper [Red] #UVA-BH,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5566030,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Derek Jeter #UVA-DJ,$775.26,,,$425.00,$468.00,$750.00,$975.00,$450.00,$450.00,,,$511.80,$853.00,,,,,,3,,,,,2023-06-01
5566042,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Derek Jeter [Orange] #UVA-DJ,$799.99,,,,,$504.99,$656.00,$303.00,$303.00,,,$528.00,$880.00,,,,,,2,,,,,2023-06-01
5566054,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Derek Jeter [Red] #UVA-DJ,$1249.99,,,,,,,,,,,$825.00,$1375.00,,,,,,1,,,,,2023-06-01
5566032,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Juan Soto #UVA-JS,$85.50,,$200.00,$218.45,$240.00,,,,,,,$37.60,$93.99,,,$110.00,$220.00,,6,,,,,2023-06-01
5566044,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Juan Soto [Orange] #UVA-JS,$199.99,,,,,,,,,,,$110.00,$220.00,,,,,,1,,,,,2023-06-01
5566056,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Juan Soto [Red] #UVA-JS,$507.13,,,,,,,,,,,$334.80,$558.00,,,,,,1,,,,,2023-06-01
5566031,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Julio Rodriguez #UVA-JR,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5566043,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Julio Rodriguez [Orange] #UVA-JR,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5566055,Baseball Cards 2023 Topps Chrome Ultraviolet All Stars Autographs,Julio Rodriguez [Red] #UVA-JR,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
