id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5566080,Baseball Cards 2023 Topps Chrome Youthquake,Adley Rutschman #YQ-19,$5.26,,$9.29,$16.62,$22.00,$22.27,$29.00,$13.00,$13.00,,,$1.20,$5.79,,,$2.00,$9.99,,12,,,,,2023-06-01
5566180,Baseball Cards 2023 Topps Chrome Youthquake,Adley Rutschman [Gold] #YQ-19,$90.00,,,,,$99.35,$129.00,$60.00,$60.00,,,$39.60,$98.99,,,,,,7,,,,,2023-06-01
5566130,Baseball Cards 2023 Topps Chrome Youthquake,Adley Rutschman [Green] #YQ-19,$15.00,,$17.24,$29.00,$53.41,$60.80,$79.00,$36.00,$36.00,,,$4.30,$16.99,,,$4.80,$18.99,,14,,,,,2023-06-01
5566230,Baseball Cards 2023 Topps Chrome Youthquake,Adley Rutschman [Orange] #YQ-19,$152.87,,,$77.00,$85.00,$354.50,$461.00,$213.00,$213.00,,,$84.00,$168.00,,,,,,3,,,,,2023-06-01
5566280,Baseball Cards 2023 Topps Chrome Youthquake,Adley Rutschman [Red] #YQ-19,$397.89,,,$203.99,$224.00,$355.00,$462.00,$213.00,$213.00,,,$219.00,$438.00,,,,,,3,,,,,2023-06-01
5566070,Baseball Cards 2023 Topps Chrome Youthquake,Alek Thomas #YQ-9,$1.53,,,,,,,,,,,,$1.69,,,,,,5,,,,,2023-06-01
5566170,Baseball Cards 2023 Topps Chrome Youthquake,Alek Thomas [Gold] #YQ-9,$3.72,,,,,,,,,,,$0.80,$4.09,,,,,,4,,,,,2023-06-01
5566120,Baseball Cards 2023 Topps Chrome Youthquake,Alek Thomas [Green] #YQ-9,$3.32,,$7.71,$14.18,$27.40,$38.60,$50.00,$23.00,$23.00,,,,$3.69,,,$1.70,$8.49,,6,,,,,2023-06-01
5566222,Baseball Cards 2023 Topps Chrome Youthquake,Alek Thomas [Orange] #YQ-9,$4.56,,,,,,,,,,,$1.00,$4.99,,,,,,2,,,,,2023-06-01
5566270,Baseball Cards 2023 Topps Chrome Youthquake,Alek Thomas [Red] #YQ-9,$49.99,,,,,,,,,,,$22.00,$54.99,,,,,,1,,,,,2023-06-01
6032801,Baseball Cards 2023 Topps Chrome Youthquake,Anthonhy Volpe #YQ-52,$4.13,,,,,$65.00,$85.00,$39.00,$39.00,,,$0.90,$4.49,,,,,,6,,,,,2023-06-01
6032901,Baseball Cards 2023 Topps Chrome Youthquake,Anthonhy Volpe [Gold] #YQ-52,$51.18,,,$27.93,$31.00,$61.03,$79.00,$37.00,$37.00,,,$22.40,$55.99,,,,,,6,,,,,2023-06-01
6032851,Baseball Cards 2023 Topps Chrome Youthquake,Anthonhy Volpe [Green] #YQ-52,$18.01,,,,,$60.00,$78.00,$36.00,$36.00,,,$5.00,$19.99,,,,,,3,,,,,2023-06-01
6032951,Baseball Cards 2023 Topps Chrome Youthquake,Anthonhy Volpe [Orange] #YQ-52,$115.60,,,,,$250.00,$325.00,$150.00,$150.00,,,$63.50,$127.00,,,,,,2,,,,,2023-06-01
6033001,Baseball Cards 2023 Topps Chrome Youthquake,Anthonhy Volpe [Red] #YQ-52,$235.00,,,,,,,,,,,$129.50,$259.00,,,,,,1,,,,,2023-06-01
6033051,Baseball Cards 2023 Topps Chrome Youthquake,Anthonhy Volpe [Superfractor] #YQ-52,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6032815,Baseball Cards 2023 Topps Chrome Youthquake,Blake Perkins #YQ-66,$1.51,,$6.23,$11.90,$14.00,$14.00,$18.00,$8.00,$8.00,,,,$1.69,,,$1.40,$6.89,,8,,,,,2023-06-01
6032915,Baseball Cards 2023 Topps Chrome Youthquake,Blake Perkins [Gold] #YQ-66,$4.07,,$8.31,$15.11,$29.05,$40.52,$53.00,$24.00,$24.00,,,$0.90,$4.49,,,$1.80,$9.09,,5,,,,,2023-06-01
6032865,Baseball Cards 2023 Topps Chrome Youthquake,Blake Perkins [Green] #YQ-66,$5.12,,,,,,,,,,,$1.10,$5.59,,,,,,3,,,,,2023-06-01
6032965,Baseball Cards 2023 Topps Chrome Youthquake,Blake Perkins [Orange] #YQ-66,$7.44,,,,,,,,,,,$1.60,$8.19,,,,,,3,,,,,2023-06-01
6033015,Baseball Cards 2023 Topps Chrome Youthquake,Blake Perkins [Red] #YQ-66,,,,$55.00,$61.00,,,,$37.00,,,,,,,,,,1,,,,,2023-06-01
6033065,Baseball Cards 2023 Topps Chrome Youthquake,Blake Perkins [Superfractor] #YQ-66,$137.74,,,,,,,,,,,$76.00,$152.00,,,,,,1,,,,,2023-06-01
5566109,Baseball Cards 2023 Topps Chrome Youthquake,Bo Naylor #YQ-48,$2.43,,$10.50,$12.00,$25.17,$36.02,$47.00,$22.00,$22.00,,,,$2.69,,,$3.00,$11.99,,9,,,,,2023-06-01
5566209,Baseball Cards 2023 Topps Chrome Youthquake,Bo Naylor [Gold] #YQ-48,$8.00,,,,,,,,,,,$1.80,$8.79,,,,,,4,,,,,2023-06-01
5566159,Baseball Cards 2023 Topps Chrome Youthquake,Bo Naylor [Green] #YQ-48,$5.22,,$9.24,$16.55,$31.59,$43.49,$57.00,$26.00,$26.00,,,$1.10,$5.69,,,$2.00,$9.99,,7,,,,,2023-06-01
5566259,Baseball Cards 2023 Topps Chrome Youthquake,Bo Naylor [Orange] #YQ-48,$17.13,,,,,$29.99,$39.00,$18.00,$18.00,,,$4.80,$18.99,,,,,,4,,,,,2023-06-01
5566309,Baseball Cards 2023 Topps Chrome Youthquake,Bo Naylor [Red] #YQ-48,$47.19,,,$130.50,$144.00,,,,,,,$20.80,$51.99,,,,,,2,,,,,2023-06-01
6032849,Baseball Cards 2023 Topps Chrome Youthquake,Bobby Miller #YQ-100,$1.40,,$6.14,$7.00,$8.00,$8.25,$11.00,$5.00,$5.00,,,,$1.49,,,$1.40,$6.79,,13,,,,,2023-06-01
6032949,Baseball Cards 2023 Topps Chrome Youthquake,Bobby Miller [Gold] #YQ-100,$25.12,,,$10.50,$12.00,$299.99,$390.00,$180.00,$180.00,,,$8.40,$27.99,,,,,,5,,,,,2023-06-01
6032899,Baseball Cards 2023 Topps Chrome Youthquake,Bobby Miller [Green] #YQ-100,$3.45,,$7.90,$9.00,$27.91,$39.21,$51.00,$24.00,$24.00,,,$0.80,$3.79,,,$1.70,$8.69,,8,,,,,2023-06-01
6032999,Baseball Cards 2023 Topps Chrome Youthquake,Bobby Miller [Orange] #YQ-100,$61.53,,,$10.00,$11.00,,,,,,,$27.20,$67.99,,,,,,3,,,,,2023-06-01
6033049,Baseball Cards 2023 Topps Chrome Youthquake,Bobby Miller [Red] #YQ-100,$185.50,,,,,,,,,,,$102.00,$204.00,,,,,,1,,,,,2023-06-01
6033099,Baseball Cards 2023 Topps Chrome Youthquake,Bobby Miller [Superfractor] #YQ-100,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5566064,Baseball Cards 2023 Topps Chrome Youthquake,Bobby Witt Jr. #YQ-3,$6.18,,$10.08,$17.84,$33.87,$46.11,$60.00,$28.00,$28.00,,,$1.40,$6.79,,,$2.80,$10.99,,9,,,,,2023-06-01
5566164,Baseball Cards 2023 Topps Chrome Youthquake,Bobby Witt Jr. [Gold] #YQ-3,$39.99,,$37.63,$47.00,$62.11,$128.04,$166.00,$77.00,$77.00,,,$17.60,$43.99,,,$16.40,$40.99,,10,,,,,2023-06-01
5566114,Baseball Cards 2023 Topps Chrome Youthquake,Bobby Witt Jr. [Green] #YQ-3,$23.69,,$24.33,$69.00,$76.00,$83.00,$108.00,$50.00,$29.00,,,$7.80,$25.99,,,$8.10,$26.99,,16,,,,,2023-06-01
5566214,Baseball Cards 2023 Topps Chrome Youthquake,Bobby Witt Jr. [Orange] #YQ-3,$63.00,,,$50.02,$55.00,$112.25,$146.00,$67.00,$67.00,,,$27.60,$68.99,,,,,,6,,,,,2023-06-01
5566264,Baseball Cards 2023 Topps Chrome Youthquake,Bobby Witt Jr. [Red] #YQ-3,$164.49,,,,,,,,,,,$90.50,$181.00,,,,,,1,,,,,2023-06-01
6032843,Baseball Cards 2023 Topps Chrome Youthquake,Braden Shewmake #YQ-94,$1.53,,$6.25,$11.93,$23.41,$33.97,$44.00,$20.00,$20.00,,,,$1.69,,,$1.40,$6.89,,7,,,,,2023-06-01
6032943,Baseball Cards 2023 Topps Chrome Youthquake,Braden Shewmake [Gold] #YQ-94,$5.05,,,,,,,,,,,$1.10,$5.59,,,,,,2,,,,,2023-06-01
6032893,Baseball Cards 2023 Topps Chrome Youthquake,Braden Shewmake [Green] #YQ-94,$2.00,,,$3.00,$3.00,,,,,,,,$2.19,,,,,,3,,,,,2023-06-01
6032993,Baseball Cards 2023 Topps Chrome Youthquake,Braden Shewmake [Orange] #YQ-94,$2.48,,,,,,,,,,,,$2.69,,,,,,1,,,,,2023-06-01
6033043,Baseball Cards 2023 Topps Chrome Youthquake,Braden Shewmake [Red] #YQ-94,$10.50,,,,,,,,,,,$3.00,$11.99,,,,,,1,,,,,2023-06-01
6033093,Baseball Cards 2023 Topps Chrome Youthquake,Braden Shewmake [Superfractor] #YQ-94,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6032832,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Marsh #YQ-83,$1.82,,$6.48,$12.29,$15.00,$15.00,$20.00,$9.00,$9.00,,,,$1.99,,,$1.40,$7.09,,13,,,,,2023-06-01
6032932,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Marsh [Gold] #YQ-83,$13.48,,,,,,,,,,,$3.80,$14.99,,,,,,5,,,,,2023-06-01
6032882,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Marsh [Green] #YQ-83,$8.99,,,,,,,,$11.50,,,$2.00,$9.89,,,,,,4,,,,,2023-06-01
6032982,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Marsh [Orange] #YQ-83,$7.50,,,,,,,,,,,$1.70,$8.29,,,,,,1,,,,,2023-06-01
6033032,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Marsh [Red] #YQ-83,$32.94,,,,,,,,,,,$14.40,$35.99,,,,,,1,,,,,2023-06-01
6033082,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Marsh [Superfractor] #YQ-83,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6032839,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Pfaadt #YQ-90,$1.39,,$6.13,$11.75,$23.10,$24.95,$32.00,$15.00,$15.00,,,,$1.49,,,$1.30,$6.69,,8,,,,,2023-06-01
6032939,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Pfaadt [Gold] #YQ-90,$3.92,,,,,,,,,,,$0.90,$4.29,,,,,,2,,,,,2023-06-01
6032889,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Pfaadt [Green] #YQ-90,$1.50,,,,,,,,,,,,$1.69,,,,,,3,,,,,2023-06-01
6032989,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Pfaadt [Orange] #YQ-90,$3.84,,,,,,,,,,,$0.80,$4.19,,,,,,1,,,,,2023-06-01
6033039,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Pfaadt [Red] #YQ-90,$33.09,,,,,,,,,,,$14.40,$35.99,,,,,,1,,,,,2023-06-01
6033089,Baseball Cards 2023 Topps Chrome Youthquake,Brandon Pfaadt [Superfractor] #YQ-90,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
6032824,Baseball Cards 2023 Topps Chrome Youthquake,Brayan Bello #YQ-75,$1.50,,$6.22,$11.89,$15.00,$15.13,$20.00,$9.00,$9.00,,,,$1.69,,,$1.40,$6.79,,11,,,,,2023-06-01
6032924,Baseball Cards 2023 Topps Chrome Youthquake,Brayan Bello [Gold] #YQ-75,$11.22,,,,,$59.99,$78.00,$36.00,$36.00,,,$3.00,$11.99,,,,,,5,,,,,2023-06-01
6032874,Baseball Cards 2023 Topps Chrome Youthquake,Brayan Bello [Green] #YQ-75,$3.63,,,,,,,,,,,$0.80,$3.99,,,,,,5,,,,,2023-06-01
