id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5565799,Baseball Cards 2023 Topps Chrome in Technicolor,Aaron Judge #TT-20,$2.99,,$15.75,$26.00,$29.00,$50.41,$66.00,$22.50,$22.12,,,,$3.29,,,$4.30,$16.99,,210,,,,,2023-06-01
5565849,Baseball Cards 2023 Topps Chrome in Technicolor,Aaron Judge [Gold] #TT-20,$36.13,,,,,$151.83,$197.00,$91.00,$91.00,,,$16.00,$39.99,,,,,,6,,,,,2023-06-01
5565824,Baseball Cards 2023 Topps Chrome in Technicolor,Aaron Judge [Green] #TT-20,$25.01,,,,,$117.94,$153.00,$71.00,$71.00,,,$8.40,$27.99,,,,,,7,,,,,2023-06-01
10516782,Baseball Cards 2023 Topps Chrome in Technicolor,Aaron Judge [Logofractor] #TT-20,,,,,,$75.00,$98.00,$45.00,$22.00,,,,,,,,,,1,,,,,2025-08-28
10516783,Baseball Cards 2023 Topps Chrome in Technicolor,Aaron Judge [Orange Logofractor] #TT-20,,,,,,$275.00,$358.00,$165.00,$165.00,,,,,,,,,,1,,,,,2025-08-28
5565874,Baseball Cards 2023 Topps Chrome in Technicolor,Aaron Judge [Orange] #TT-20,$99.99,,$86.63,$105.99,$183.00,$186.75,$243.00,$112.00,$112.00,,,$55.00,$110.00,,,$38.00,$94.99,,11,,,,,2023-06-01
10516784,Baseball Cards 2023 Topps Chrome in Technicolor,Aaron Judge [Red Logofractor] #TT-20,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-28
5565899,Baseball Cards 2023 Topps Chrome in Technicolor,Aaron Judge [Red] #TT-20,$249.98,,,,,$152.50,$198.00,$92.00,$92.00,,,$137.50,$275.00,,,,,,2,,,,,2023-06-01
10516785,Baseball Cards 2023 Topps Chrome in Technicolor,Aaron Judge [Rose Gold Logofractor] #TT-20,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-28
6591860,Baseball Cards 2023 Topps Chrome in Technicolor,Aaron Judge [Rose Gold] #TT-20,,,,,,,,,,,,,,,,,,,0,,,,,2023-04-01
