id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5565905,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Aaron Judge #TTA-AJ,$19.99,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2023-06-01
5565920,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Aaron Judge [Orange] #TTA-AJ,$537.50,,,$405.50,$570.00,,,,,,,$354.60,$591.00,,,,,,4,,,,,2023-06-01
5565935,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Aaron Judge [Red] #TTA-AJ,,,,,,$3350.00,$4355.00,$2010.00,$2010.00,,,,,,,,,,1,,,,,2023-06-01
5565906,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Byron Buxton #TTA-BB,$15.50,,$17.65,$29.52,$54.55,$70.19,$91.00,$42.00,$42.00,,,$4.30,$16.99,,,$4.80,$18.99,,10,,,,,2023-06-01
5565921,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Byron Buxton [Orange] #TTA-BB,$57.50,,,,,,,,,,,$25.20,$62.99,,,,,,1,,,,,2023-06-01
5565936,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Byron Buxton [Red] #TTA-BB,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565907,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Corbin Burnes #TTA-CB,$12.55,,$13.54,$23.17,$43.31,$78.91,$103.00,$47.00,$75.00,,,$3.50,$13.99,,,$3.80,$14.99,,9,,,,,2023-06-01
5565922,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Corbin Burnes [Orange] #TTA-CB,$24.62,,,,,,,,,,,$8.10,$26.99,,,,,,2,,,,,2023-06-01
5565937,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Corbin Burnes [Red] #TTA-CB,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565908,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Dylan Carlson #TTA-DC,$7.99,,$11.52,$17.91,$37.78,$50.66,$66.00,$30.00,$30.00,,,$1.80,$8.79,,,$3.30,$12.99,,12,,,,,2023-06-01
5565923,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Dylan Carlson [Orange] #TTA-DC,$20.00,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2023-06-01
5565938,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Dylan Carlson [Red] #TTA-DC,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565909,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Freddie Freeman #TTA-FF,$218.82,,$183.75,$260.77,$293.00,$299.01,$389.00,$179.00,$179.00,,,$120.50,$241.00,,,$101.00,$202.00,,15,,,,,2023-06-01
5565924,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Freddie Freeman [Orange] #TTA-FF,$278.18,,,$505.75,$556.00,,,,,,,$153.00,$306.00,,,,,,4,,,,,2023-06-01
5565939,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Freddie Freeman [Red] #TTA-FF,$240.00,,,,,,,,,,,$132.00,$264.00,,,,,,1,,,,,2023-06-01
5565910,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,J. T. Realmuto #TTA-JR,$40.00,,,,,,,,,,,$17.60,$43.99,,,,,,1,,,,,2023-06-01
5565925,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,J. T. Realmuto [Orange] #TTA-JR,$24.71,,,,,,,,,,,$8.10,$26.99,,,,,,1,,,,,2023-06-01
5565940,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,J. T. Realmuto [Red] #TTA-JR,$132.57,,,,,,,,,,,$73.00,$146.00,,,,,,1,,,,,2023-06-01
5565913,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Joey Votto #TTA-JV,$60.00,,$46.06,$85.58,$153.81,$185.79,$242.00,$111.00,$111.00,,,$26.40,$65.99,,,$20.40,$50.99,,8,,,,,2023-06-01
5565928,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Joey Votto [Orange] #TTA-JV,$92.58,,,$52.99,$58.00,,,,,,,$51.00,$102.00,,,,,,3,,,,,2023-06-01
5565943,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Joey Votto [Red] #TTA-JV,$70.00,,,,,,,,,,,$30.80,$76.99,,,,,,1,,,,,2023-06-01
5565911,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Jose Ramirez #TTA-JRA,$81.00,,$71.07,$78.00,$200.34,$239.56,$311.00,$144.00,$144.00,,,$35.60,$88.99,,,$31.20,$77.99,,13,,,,,2023-06-01
5565926,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Jose Ramirez [Orange] #TTA-JRA,$58.50,,,,,,,,,,,$25.60,$63.99,,,,,,1,,,,,2023-06-01
5565941,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Jose Ramirez [Red] #TTA-JRA,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
5565912,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Juan Soto #TTA-JS,$99.99,,$86.63,$140.96,$155.00,$175.00,$228.00,$105.00,$105.00,,,$55.00,$110.00,,,$38.00,$94.99,,9,,,,,2023-06-01
5565927,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Juan Soto [Orange] #TTA-JS,$96.24,,,$110.00,$121.00,$280.00,$364.00,$168.00,$168.00,,,$53.00,$106.00,,,,,,5,,,,,2023-06-01
5565942,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Juan Soto [Red] #TTA-JS,$163.50,$200.00,,,,,,,,,,$90.00,$180.00,$110.00,$220.00,,,,2,,,,,2023-06-01
5565914,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Manny Machado #TTA-MM,$50.87,,$46.80,$104.49,$123.00,$125.00,$163.00,$75.00,$79.33,,,$22.40,$55.99,,,$20.40,$50.99,,9,,,,,2023-06-01
5565929,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Manny Machado [Orange] #TTA-MM,$80.00,,,,,$299.99,$390.00,$180.00,$180.00,,,$35.20,$87.99,,,,,,3,,,,,2023-06-01
5565944,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Manny Machado [Red] #TTA-MM,$160.00,,,,,,,,,,,$88.00,$176.00,,,,,,1,,,,,2023-06-01
5565915,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Mike Trout #TTA-MT,$385.00,,$125.00,$495.10,$585.00,$597.00,$776.00,$358.00,$495.00,,,$212.00,$424.00,,,$69.00,$138.00,,8,,,,,2023-06-01
5565930,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Mike Trout [Orange] #TTA-MT,$467.50,,,,,$330.00,$429.00,$198.00,$198.00,,,$308.40,$514.00,,,,,,2,,,,,2023-06-01
5565945,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Mike Trout [Red] #TTA-MT,$1000.00,,,$799.99,$880.00,,,,,,,$660.00,$1100.00,,,,,,2,,,,,2023-06-01
5565916,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Paul Goldschmidt #TTA-PG,$41.71,,,$58.18,$64.00,$70.00,$91.00,$42.00,$75.00,,,$18.40,$45.99,,,,,,7,,,,,2023-06-01
5565931,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Paul Goldschmidt [Orange] #TTA-PG,$61.61,,,$46.01,$51.00,$55.00,$72.00,$33.00,$125.00,,,$27.20,$67.99,,,,,,6,,,,,2023-06-01
5565946,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Paul Goldschmidt [Red] #TTA-PG,$130.00,,,,,,,,,,,$71.50,$143.00,,,,,,0,,,,,2023-06-01
5565917,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Ronald Acuna Jr. #TTA-RA,$143.50,,$75.00,$239.32,$263.00,$274.99,$357.00,$165.00,$152.50,,,$79.00,$158.00,,,$33.20,$82.99,,14,,,,,2023-06-01
5565932,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Ronald Acuna Jr. [Orange] #TTA-RA,$226.78,,,$236.60,$260.00,$305.00,$397.00,$183.00,$183.00,,,$124.50,$249.00,,,,,,5,,,,,2023-06-01
5565947,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Ronald Acuna Jr. [Red] #TTA-RA,$1750.00,,,$359.00,$395.00,,,,,,,$1155.00,$1925.00,,,,,,2,,,,,2023-06-01
5565918,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Shane Bieber #TTA-SB,$12.54,,$15.23,$17.99,$47.93,$62.47,$81.00,$37.00,$40.00,,,$3.50,$13.99,,,$4.30,$16.99,,12,,,,,2023-06-01
5565933,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Shane Bieber [Orange] #TTA-SB,$49.02,,,,,,,,,,,$21.60,$53.99,,,,,,1,,,,,2023-06-01
5565948,Baseball Cards 2023 Topps Chrome in Technicolor Autographs,Shane Bieber [Red] #TTA-SB,,,,,,$54.00,$70.00,$32.00,$32.00,,,,,,,,,,1,,,,,2023-06-01
