box_set_slug,category_name,card_number,player_name,rookie_card,variation_name,print_run,is_numbered,is_autograph,is_relic,is_case_hit,insert_set_name,circulation_status,current_value,value_source,image_url,notes,_needs_review,_source_notes,pull_rate_category,pull_rate_is_approximated
2023-topps-chrome-baseball,Base,62,Aaron Judge,TRUE,Base,,FALSE,FALSE,FALSE,FALSE,,,2.05,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Base,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Aqua Lava Refractor,25,TRUE,FALSE,FALSE,FALSE,,,30.00,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Aqua Lava Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Aqua Refractor,25,TRUE,FALSE,FALSE,FALSE,,,30.44,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Aqua Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Blue Sonar Refractor,150,TRUE,FALSE,FALSE,FALSE,,,50.35,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Blue Sonar Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Blue Wave Refractor,75,TRUE,FALSE,FALSE,FALSE,,,98.67,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Blue Wave Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Blue Refractor,150,TRUE,FALSE,FALSE,FALSE,,,67.89,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Blue Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Gold Wave Refractor,50,TRUE,FALSE,FALSE,FALSE,,,97.49,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Gold Wave Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Gold Refractor,50,TRUE,FALSE,FALSE,FALSE,,,165.99,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Gold Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Green Sonar Refractor,75,TRUE,FALSE,FALSE,FALSE,,,80.48,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Green Sonar Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Green Wave Refractor,99,TRUE,FALSE,FALSE,FALSE,,,65.00,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Green Wave Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Green Refractor,99,TRUE,FALSE,FALSE,FALSE,,,57.97,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Green Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Magenta Speckle Refractor,50,TRUE,FALSE,FALSE,FALSE,,,20.99,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Magenta Speckle Refractor,FALSE
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Magenta Refractor,,FALSE,FALSE,FALSE,FALSE,,,21.78,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Magenta Refractor,FALSE
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Negative Refractor,,FALSE,FALSE,FALSE,FALSE,,,26.02,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Negative Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Orange Wave Refractor,25,TRUE,FALSE,FALSE,FALSE,,,190.00,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Orange Wave Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Orange Refractor,25,TRUE,FALSE,FALSE,FALSE,,,90.00,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Orange Refractor,FALSE
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Pink Refractor,,FALSE,FALSE,FALSE,FALSE,,,8.41,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Pink Refractor,FALSE
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Prism Refractor,,FALSE,FALSE,FALSE,FALSE,,,7.26,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Prism Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Purple Sonar Refractor,199,TRUE,FALSE,FALSE,FALSE,,,30.00,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Purple Sonar Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Purple Speckle Refractor,299,TRUE,FALSE,FALSE,FALSE,,,34.06,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Purple Speckle Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Purple Refractor,250,TRUE,FALSE,FALSE,FALSE,,,29.34,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Purple Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Red Wave Refractor,5,TRUE,FALSE,FALSE,FALSE,,,326.65,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Red Wave Refractor,FALSE
2023-topps-chrome-baseball,Numbered Rookie Refractor,62,Aaron Judge,TRUE,Red Refractor,5,TRUE,FALSE,FALSE,FALSE,,,200.00,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Red Refractor,FALSE
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,Refractor,,FALSE,FALSE,FALSE,FALSE,,,4.73,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Refractor,FALSE
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,SP Variation Gold Speckle Refractor,,FALSE,FALSE,FALSE,FALSE,,,220.00,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Super Short Print,TRUE
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,SP Variation Green Speckle Refractor,,FALSE,FALSE,FALSE,FALSE,,,78.00,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Super Short Print,TRUE
2023-topps-chrome-baseball,Refractor,62,Aaron Judge,TRUE,SP Variation Orange Speckle Refractor,,FALSE,FALSE,FALSE,FALSE,,,195.42,sportscardspro,,,FALSE,2023_Topps_Chrome.csv,Super Short Print,TRUE
