csv_file,product_name,loose_price,parsed_player,parsed_parallel,parsed_card_number
2023_Topps_Chrome.csv,Aaron Judge [Logofractor Blue] #62,$56.47,Aaron Judge,Logofractor Blue,62
2023_Topps_Chrome.csv,Aaron Judge [Logofractor Gold] #62,$60.00,Aaron Judge,Logofractor Gold,62
2023_Topps_Chrome.csv,Aaron Judge [Logofractor Green] #62,$57.61,Aaron Judge,Logofractor Green,62
2023_Topps_Chrome.csv,Aaron Judge [Logofractor Orange] #62,$194.33,Aaron Judge,Logofractor Orange,62
2023_Topps_Chrome.csv,Aaron Judge [Logofractor Pink] #62,$30.18,Aaron Judge,Logofractor Pink,62
2023_Topps_Chrome.csv,Aaron Judge [Logofractor Purple] #62,$28.75,Aaron Judge,Logofractor Purple,62
2023_Topps_Chrome.csv,Aaron Judge [Logofractor Red] #62,$550.54,Aaron Judge,Logofractor Red,62
2023_Topps_Chrome.csv,Aaron Judge [Pink Logofractor] #62,$67.47,Aaron Judge,Pink Logofractor,62
2023_Topps_Chrome.csv,Aaron Judge [Purple Logofractor] #62,$35.03,Aaron Judge,Purple Logofractor,62
2023_Topps_Chrome.csv,Aaron Judge [SP Variation Gold Speckle] #62,$220.00,Aaron Judge,SP Variation Gold Speckle,62
2023_Topps_Chrome.csv,Aaron Judge [SP Variation Green Speckle] #62,$78.00,Aaron Judge,SP Variation Green Speckle,62
2023_Topps_Chrome.csv,Aaron Judge [SP Variation Orange Speckle] #62,$195.42,Aaron Judge,SP Variation Orange Speckle,62
2023_Topps_Chrome.csv,Aaron Judge [SP Variation Red Speckle] #62,$1199.00,Aaron Judge,SP Variation Red Speckle,62
2023_Topps_Chrome.csv,Adley Rutschman [Logofractor Blue] #1,$30.50,Adley Rutschman,Logofractor Blue,1
2023_Topps_Chrome.csv,Adley Rutschman [Logofractor Gold] #1,$121.50,Adley Rutschman,Logofractor Gold,1
2023_Topps_Chrome.csv,Adley Rutschman [Logofractor Green] #1,$41.26,Adley Rutschman,Logofractor Green,1
2023_Topps_Chrome.csv,Adley Rutschman [Logofractor Orange] #1,$237.50,Adley Rutschman,Logofractor Orange,1
2023_Topps_Chrome.csv,Adley Rutschman [Logofractor Pink] #1,$27.43,Adley Rutschman,Logofractor Pink,1
2023_Topps_Chrome.csv,Adley Rutschman [Logofractor Purple] #1,$29.55,Adley Rutschman,Logofractor Purple,1
2023_Topps_Chrome.csv,Adley Rutschman [Logofractor Rose Gold] #1,$37.99,Adley Rutschman,Logofractor Rose Gold,1
2023_Topps_Chrome.csv,Adley Rutschman [Pink Logofractor] #1,$14.00,Adley Rutschman,Pink Logofractor,1
2023_Topps_Chrome.csv,Adley Rutschman [Purple Logofractor] #1,$13.58,Adley Rutschman,Purple Logofractor,1
2023_Topps_Chrome.csv,Adley Rutschman [Rose Gold Logofractor] #1,$18.00,Adley Rutschman,Rose Gold Logofractor,1
2023_Topps_Chrome.csv,Adley Rutschman [SP Variation Gold Speckle] #1,$75.33,Adley Rutschman,SP Variation Gold Speckle,1
2023_Topps_Chrome.csv,Adley Rutschman [SP Variation Green Speckle] #1,$99.74,Adley Rutschman,SP Variation Green Speckle,1
2023_Topps_Chrome.csv,Adley Rutschman [SP Variation Orange Speckle] #1,$249.00,Adley Rutschman,SP Variation Orange Speckle,1
2023_Topps_Chrome.csv,Alek Thomas [Logofractor Blue] #186,$2.43,Alek Thomas,Logofractor Blue,186
2023_Topps_Chrome.csv,Alek Thomas [Logofractor Gold] #186,$10.97,Alek Thomas,Logofractor Gold,186
2023_Topps_Chrome.csv,Alek Thomas [Logofractor Green] #186,$7.00,Alek Thomas,Logofractor Green,186
2023_Topps_Chrome.csv,Alek Thomas [Logofractor Orange] #186,$2.15,Alek Thomas,Logofractor Orange,186
2023_Topps_Chrome.csv,Alek Thomas [Logofractor Pink] #186,$1.23,Alek Thomas,Logofractor Pink,186
2023_Topps_Chrome.csv,Alek Thomas [Logofractor Purple] #186,$1.99,Alek Thomas,Logofractor Purple,186
2023_Topps_Chrome.csv,Alek Thomas [Logofractor Red] #186,$38.00,Alek Thomas,Logofractor Red,186
2023_Topps_Chrome.csv,Alek Thomas [Pink Logofractor] #186,$2.40,Alek Thomas,Pink Logofractor,186
2023_Topps_Chrome.csv,Alek Thomas [Purple Logofractor] #186,$2.08,Alek Thomas,Purple Logofractor,186
2023_Topps_Chrome.csv,Alexis Diaz #179,$1.09,Alexis Diaz,,179
2023_Topps_Chrome.csv,Alexis Diaz [Aqua Lava] #179,$3.50,Alexis Diaz,Aqua Lava,179
2023_Topps_Chrome.csv,Alexis Diaz [Aqua] #179,$9.99,Alexis Diaz,Aqua,179
2023_Topps_Chrome.csv,Alexis Diaz [Blue Sonar] #179,$1.56,Alexis Diaz,Blue Sonar,179
2023_Topps_Chrome.csv,Alexis Diaz [Blue Wave] #179,$9.99,Alexis Diaz,Blue Wave,179
2023_Topps_Chrome.csv,Alexis Diaz [Blue] #179,$2.64,Alexis Diaz,Blue,179
2023_Topps_Chrome.csv,Alexis Diaz [Gold Wave] #179,$24.50,Alexis Diaz,Gold Wave,179
2023_Topps_Chrome.csv,Alexis Diaz [Gold] #179,$1.00,Alexis Diaz,Gold,179
2023_Topps_Chrome.csv,Alexis Diaz [Green Sonar] #179,$2.19,Alexis Diaz,Green Sonar,179
2023_Topps_Chrome.csv,Alexis Diaz [Green Wave] #179,$1.99,Alexis Diaz,Green Wave,179
2023_Topps_Chrome.csv,Alexis Diaz [Green] #179,$3.35,Alexis Diaz,Green,179
2023_Topps_Chrome.csv,Alexis Diaz [Magenta Speckle] #179,$2.18,Alexis Diaz,Magenta Speckle,179
2023_Topps_Chrome.csv,Alexis Diaz [Magenta] #179,$1.50,Alexis Diaz,Magenta,179
2023_Topps_Chrome.csv,Alexis Diaz [Negative] #179,$1.99,Alexis Diaz,Negative,179
2023_Topps_Chrome.csv,Alexis Diaz [Orange Wave] #179,$6.41,Alexis Diaz,Orange Wave,179
2023_Topps_Chrome.csv,Alexis Diaz [Orange] #179,$14.43,Alexis Diaz,Orange,179
